Name	Hy2489_1_quant	Hy2489_2_quant	P6_1_quant	P6_2_quant
NCU05902	40.0912	44.8078	25.0638	26.7619
NCU05899	111.069	89.4232	160.669	166.976
NCU05895	46.4721	50.0013	71.7727	87.0534
NCU05890	104.81	82.4917	18.3918	20.0777
NCU05887	4.37434	2.46589	14.2102	19.2822
NCU05886	2.58657	0.440052	2.67476	2.63506
NCU05885	5.14355	2.874	4.9268	6.04234
NCU05883	0.0	0.294816	6.52877	7.47229
NCU05878	149.654	167.669	155.138	208.106
NCU05881	137.739	135.263	1058.37	1091.69
NCU05877	0.0	0.326865	49.6443	80.5907
NCU05872	5.27264	4.46305	53.3552	85.5757
NCU05870	0.294913	0.469501	0.486598	1.57338
NCU05866	0.116771	0.186298	144.733	190.303
NCU05861	6.26087	6.86603	12.7884	18.724
NCU05860	5.27191	2.23706	15.4039	12.9507
NCU05859	0.364047	1.0796	44.7345	35.1255
NCU05854	7.8581	6.31829	10.8289	10.0728
NCU05851	0.154406	0.122848	4.33326	4.31698
NCU05849	2.09511	1.09804	3.69621	4.49311
NCU05844	53.0955	76.4758	66.9827	82.3721
NCU05843	1.76165	3.01998	63.3138	58.8998
NCU05842	3.08119	18.9263	80.7708	89.487
NCU05841	5.87566	27.0021	46.3288	46.2172
NCU05837	11.4404	12.9169	24.5348	29.9709
NCU05835	2.93808	3.30105	8.56148	13.2162
NCU05831	15.4724	11.8695	23.4348	22.9012
NCU05829	3.75072	9.24247	34.437	36.0579
NCU05827	0.35039	0.412535	4.10872	9.9267
NCU05826	0.987481	10.6342	16.2073	21.741
NCU05824	0.0	0.0	0.480574	0.0
NCU17278	8.61272	4.95287	47.8327	60.4273
NCU05816	568.848	1045.96	410.298	412.673
NCU05812	2.08949	0.829163	273.766	391.159
NCU05810	402.16	869.462	145.834	175.521
NCU05808	22.1124	20.701	6.06155	7.62772
NCU05798	0.900979	2.13401	11.2943	13.045
NCU05796	38.3222	53.6483	67.7093	86.2668
NCU05794	0.595387	0.0	9.59586	3.24606
NCU17274	3.39942	2.66322	2.69466	7.01715
NCU05789	224.451	159.584	34.6701	32.6861
NCU05787	0.0	0.0	0.0	0.0
NCU05785	123.89	88.0195	179.38	266.831
NCU05784	251.699	156.716	338.254	397.534
NCU05781	23.3187	21.4048	25.4252	39.8163
NCU05780	13.0852	60.8297	196.311	260.116
NCU05778	319.522	257.68	172.172	169.03
NCU05776	37.4045	42.4411	31.3467	33.2617
NCU05774	0.04076	0.0	1.27158	1.89695
NCU10416	38.2745	13.5304	43.6305	54.0368
NCU05771	73.2878	28.4759	12.5948	13.7294
NCU05770	148.492	162.888	263.569	273.555
NCU17268	0.899545	0.6091	35.0615	29.7311
NCU17267	0.759646	0.7003	67.9024	70.8784
NCU05763	1.65576	2.88236	400.979	316.939
NCU05761	0.255539	0.908502	77.309	74.5481
NCU05760	0.0	0.0	0.416509	0.0
NCU05759	0.335577	0.0	78.9786	108.808
NCU05757	6.06173	15.2411	6.38185	6.17493
NCU05755	0.348199	1.23005	7.72733	2.51062
NCU08187	0.0	0.0	22.4442	28.1679
NCU08186	0.290153	0.224154	71.2354	110.238
NCU08185	7.64313	16.3114	28.7956	28.9241
NCU11383	0.0	0.098365	13.2581	16.0211
NCU11382	0.115693	0.0	2.59315	1.77348
NCU17263	0.0	0.0	0.0	0.0
NCU08179	0.183386	0.728055	1.21356	1.40105
NCU08176	0.217211	0.339008	6.59124	12.153
NCU08174	21.355	12.484	11.4695	12.0743
NCU10080	12.2813	7.3632	7.99093	9.15524
NCU08173	18.7167	41.7891	24.0278	16.3582
NCU08170	0.153767	0.122344	3.61707	5.00238
NCU08169	11.7546	16.1239	32.0346	43.6625
NCU17260	17.5576	16.6588	12.419	11.9078
NCU08168	93.8619	131.966	316.816	396.859
NCU08167	77.1817	132.294	43.1329	65.0122
NCU08165	6.9773	5.25677	18.9559	23.3365
NCU08164	31.7252	39.3203	6.56122	4.50968
NCU08161	29.391	28.7062	28.9089	32.547
NCU08159	109.693	80.1487	379.462	583.169
NCU08158	52.2407	38.3974	8.78373	11.2382
NCU08157	26.8358	25.82	9.52983	11.7007
NCU08156	5.5286	17.775	8.78595	17.2059
NCU08154	0.074022	0.883788	7.69482	6.69499
NCU08153	0.448423	0.102122	154.046	150.588
NCU08152	0.828232	0.8089	513.051	742.979
NCU08151	14.8734	13.0702	12.2094	16.909
NCU08150	28.1723	40.3834	128.691	156.387
NCU08147	4.80821	14.1544	28.9176	36.2289
NCU17258	65.6328	32.6628	12.8593	13.5666
NCU08140	0.0	0.0	0.0	0.0
NCU11381	10.3506	19.9322	8.43132	8.53381
NCU08138	31.4563	48.4345	12.4679	9.62955
NCU08136	10.0513	9.08356	5.35955	5.64429
NCU08135	8.03611	8.24231	6.47093	6.93689
NCU08132	44.1848	57.6567	29.4059	43.1893
NCU08126	12.2781	7.00528	22.898	27.9394
NCU08125	2.31392	4.18964	30.4261	37.2381
NCU08124	12.1762	18.4195	13.1211	15.1889
NCU02188	4.30094	0.627997	87.3358	63.0478
NCU02189	0.0	0.0	6.0321	5.38355
NCU02193	577.349	3092.76	365.987	272.146
NCU02195	0.0	0.0	4.50379	3.65188
NCU02196	0.147554	1.05707	14.486	13.0453
NCU02197	0.0	0.46378	13.6149	12.4532
NCU02198	2.43721	1.1257	195.047	242.563
NCU02199	0.140679	0.0	37.511	63.3265
NCU11253	10.8231	5.16216	88.7164	87.2524
NCU02201	14.5362	15.8056	43.9485	51.2496
NCU02202	49.3428	66.3191	39.574	47.0883
NCU02204	45.4993	34.0612	32.7	43.7979
NCU02205	0.0	0.0	0.0	1.19161
NCU02206	7.73003	9.89675	1415.91	1847.68
NCU02207	157.063	202.796	47.8727	52.4235
NCU02209	102.847	195.428	73.5779	78.4872
NCU02214	14.415	12.9289	4.97477	5.61998
NCU02215	0.129531	0.069031	10.567	14.7699
NCU02217	58.2019	94.9102	30.8643	32.418
NCU02221	22.8965	16.3568	13.1879	16.956
NCU02224	98.1648	107.607	42.2996	42.2873
NCU02227	64.9618	94.1159	19.9822	18.3235
NCU02229	74.3046	48.4008	20.1025	19.5058
NCU02231	24.3228	16.8839	8.24526	8.21186
NCU02234	20.7991	38.1868	16.3703	16.6266
NCU02235	9.30672	13.8637	20.2943	19.2862
NCU02237	9.28047	10.4134	5.97938	7.48163
NCU02240	2.98454	3.10256	6.20092	9.6148
NCU02241	16.4812	10.7116	9.60039	9.0411
NCU02243	16.6527	9.74603	8.65002	9.34434
NCU02244	186.604	90.041	78.1275	86.1725
NCU02247	7.14713	9.58562	10.4629	13.2553
NCU02251	0.500455	0.751746	5.29656	7.01301
NCU02252	76.5768	658.638	98.73	108.267
NCU02253	6.24947	9.82355	0.676821	2.07374
NCU17251	36.6498	31.5138	50.4804	59.0702
NCU02256	54.7143	25.4786	19.7454	23.6812
NCU02260	146.141	127.256	53.1735	65.0868
NCU02263	181.643	175.232	61.0998	73.2727
NCU02264	79.3186	118.157	35.7377	39.5108
NCU02265	505.762	272.475	108.966	146.038
NCU02268	62.949	49.3955	12.4205	12.0939
NCU02269	89.8003	97.9735	20.6216	16.3728
NCU02272	25.0766	18.7831	13.3434	17.173
NCU02274	944.977	369.917	74.8362	81.0327
NCU02275	0.0	0.229309	57.5563	88.0898
NCU02277	62.0933	72.2464	58.1771	79.1374
NCU10225	59.427	36.1031	16.3918	19.6017
NCU02283	45.9301	49.6633	35.3261	38.2426
NCU02284	22.1555	8.2901	5.62593	10.7128
NCU10776	41.2719	39.0816	25.0116	29.5693
NCU17250	0.0	0.0	34.4907	49.3322
NCU17249	0.456607	0.361424	11.0847	14.5791
NCU02291	46.2822	64.6745	10.1492	11.1668
NCU02293	44.9185	54.4978	10.7378	10.2819
NCU02296	24.5185	39.9966	7.0699	6.69794
NCU02300	0.0	0.0	38.7488	41.6932
NCU02305	45.0964	55.3243	18.0611	22.3082
