Name	P6_1_quant
NEUTE1DRAFT_127034	6.96926
NEUTE1DRAFT_55081	0
NEUTE1DRAFT_106692	6.80327
NEUTE1DRAFT_51860	2.01984
NEUTE1DRAFT_151034	24.2696
NEUTE1DRAFT_143563	0
NEUTE1DRAFT_127028	9.66061
NEUTE1DRAFT_127019	2.99815
NEUTE1DRAFT_93432	203.779
NEUTE1DRAFT_74716	14.3213
NEUTE1DRAFT_106670	0
NEUTE1DRAFT_119322	0.850733
NEUTE1DRAFT_127012	10.0048
NEUTE1DRAFT_52989	11.7592
NEUTE1DRAFT_106664	29.1911
NEUTE1DRAFT_151014	44.149
NEUTE1DRAFT_127007	43.5822
NEUTE1DRAFT_93395	16.332
NEUTE1DRAFT_93392	25.18
NEUTE1DRAFT_93389	13.9953
NEUTE1DRAFT_93386	5.70828
NEUTE1DRAFT_143522	0
NEUTE1DRAFT_126996	479.373
NEUTE1DRAFT_106645	0
NEUTE1DRAFT_93370	22.552
NEUTE1DRAFT_119309	463.466
NEUTE1DRAFT_53312	1.13688
NEUTE1DRAFT_150996	51.8196
NEUTE1DRAFT_53084	61.5081
NEUTE1DRAFT_126986	97.3619
NEUTE1DRAFT_134057	16.0451
NEUTE1DRAFT_74639	6.44449
NEUTE1DRAFT_126979	0.746322
NEUTE1DRAFT_106626	162.024
NEUTE1DRAFT_93326	53.7454
NEUTE1DRAFT_93323	4.73538
NEUTE1DRAFT_93321	5.81261
NEUTE1DRAFT_51270	169.806
NEUTE1DRAFT_93314	25.4757
NEUTE1DRAFT_106612	14.401
NEUTE1DRAFT_115516	4.83324
NEUTE1DRAFT_106609	1398.59
NEUTE1DRAFT_74605	20.3109
NEUTE1DRAFT_150970	42.498
NEUTE1DRAFT_119293	542.745
NEUTE1DRAFT_119291	1500.05
NEUTE1DRAFT_93287	74.894
NEUTE1DRAFT_134032	19.9045
NEUTE1DRAFT_74574	5.63224
NEUTE1DRAFT_150960	1.34234
NEUTE1DRAFT_119289	23.8884
NEUTE1DRAFT_126952	0.430189
NEUTE1DRAFT_126950	13.5273
NEUTE1DRAFT_115496	11.4655
NEUTE1DRAFT_143466	0.887372
NEUTE1DRAFT_115489	0
NEUTE1DRAFT_134025	0
NEUTE1DRAFT_134023	45.8343
NEUTE1DRAFT_106589	0
NEUTE1DRAFT_93267	4.39018
NEUTE1DRAFT_93266	32.093
NEUTE1DRAFT_93253	6.38022
NEUTE1DRAFT_106582	21.983
NEUTE1DRAFT_126942	2.41647
NEUTE1DRAFT_134013	5.80734
NEUTE1DRAFT_126939	12.2777
NEUTE1DRAFT_74526	61.0647
NEUTE1DRAFT_134005	7.61346
NEUTE1DRAFT_126932	25.1961
NEUTE1DRAFT_93219	1.48301
NEUTE1DRAFT_134000	37.3149
NEUTE1DRAFT_133999	11.6812
NEUTE1DRAFT_93201	37.9243
NEUTE1DRAFT_119280	137.207
NEUTE1DRAFT_93191	60.4745
NEUTE1DRAFT_119277	115.584
NEUTE1DRAFT_74482	163.464
NEUTE1DRAFT_133987	12.3551
NEUTE1DRAFT_74476	7.18476
NEUTE1DRAFT_119275	1081.12
NEUTE1DRAFT_133984	41.2965
NEUTE1DRAFT_106551	17.0823
NEUTE1DRAFT_54706	21.4191
NEUTE1DRAFT_106542	9.42463
NEUTE1DRAFT_133979	44.0868
NEUTE1DRAFT_74451	42.6324
NEUTE1DRAFT_74442	61.0682
NEUTE1DRAFT_93137	198.144
NEUTE1DRAFT_74426	495.77
