Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
YPR201W	0.0	0.0	0.0	0.0
YPR195C	21.34	26.3793	1.09227	3.55444
YPR192W	90.0798	131.878	0.21817	0.121708
YPR189W	11.8921	9.90851	6.28446	4.49777
YPR188C	61.901	63.428	67.3283	45.522
YPR185W	9.12354	9.31835	2.57837	1.92197
YPR184W	18.6422	17.8552	0.294082	0.382177
YPR183W	27.8107	24.8728	17.7831	29.8643
YPR181C	22.0704	20.6866	9.76306	19.5249
YPR178W	10.603	11.6011	5.76349	3.64722
YPR176C	25.7158	29.6631	26.545	12.6196
YPR175W	11.3858	12.3476	4.90062	3.61835
YPR174C	18.9175	24.0802	11.4908	5.27676
YPR173C	45.6564	55.3715	28.2983	19.7522
YPR171W	11.2737	8.82662	4.17236	4.63873
YPR169W	77.5686	68.5868	39.3704	24.459
YPR165W	368.548	455.22	205.49	127.835
YPR163C	101.754	120.762	90.1896	73.9833
YPR160W	24.5703	20.4912	0.485989	0.710848
YPR159W	44.0692	46.5161	16.4097	12.4948
YPR158C-C	0.0	0.0	0.0	0.0
YPR158W-B	13.2382	11.0969	6.78563	6.78758
YPR158W	209.213	192.991	8.01699	7.66691
YPR155C	10.1422	10.6653	5.26148	3.07228
YPR149W	364.725	351.484	110.375	194.884
YPR147C	16.4726	17.9603	19.9869	16.3825
YPR139C	20.7238	23.4371	35.3519	24.3406
YPR124W	227.616	214.906	25.065	5.52614
YPR120C	10.016	9.00253	9.62125	8.34597
YPR119W	2.21922	2.71268	14.5737	9.64872
YPR118W	21.5584	22.8815	43.5685	29.0606
YPR115W	12.6384	11.6148	1.46611	1.32703
YPR112C	49.598	46.1889	31.3692	15.5934
YPR110C	141.938	171.471	128.626	78.3516
YPR108W	59.716	70.4215	43.7855	29.7738
YPR104C	13.0667	13.4817	6.0207	4.03173
YPR100W	110.043	115.547	95.0242	71.2
YPR098C	53.1191	49.1205	17.7849	15.1579
YPR097W	10.6343	9.66952	7.64975	5.38908
YPR091C	43.5674	44.0389	22.6796	28.1826
YPR088C	34.8787	31.1981	36.4555	24.0772
YPR085C	23.0113	19.7635	9.83256	5.8609
YPR084W	14.0193	13.9612	3.61418	2.46587
YPR081C	8.78528	8.32808	1.77751	2.17545
YPR073C	56.7721	56.0284	80.5261	46.3348
YPR072W	36.4773	33.6397	17.9197	12.9923
YPR071W	9.05627	10.4544	39.1978	18.6108
YPR070W	19.3233	20.7942	11.8518	8.40467
YPR066W	4.89154	5.61815	1.43495	1.68856
YPR064W	1.34922	1.6819	0.514368	0.239121
YPR063C	77.9492	70.0238	64.6973	115.138
YPR062W	186.616	231.872	164.87	156.693
YPR055W	9.0253	8.34445	4.93372	3.73688
YPR052C	206.64	185.389	403.768	545.414
YPR051W	39.9683	49.8942	37.1345	23.0016
YPR048W	17.5202	16.5547	17.6466	8.77171
YPR047W	7.17966	6.92755	7.73916	3.22401
YPR046W	36.1793	35.3337	47.2662	20.3253
YPR043W	2311.23	2235.82	4441.91	5939.62
YPR042C	11.5557	9.44623	1.82049	2.63451
YPR036W-A	23031.6	18099.3	7565.81	2397.32
YPR036W	80.8579	85.1655	96.1843	74.9999
YPR035W	794.551	1070.39	183.362	289.736
YPR032W	7.54315	7.83034	2.3506	2.18077
YPR030W	10.9297	9.24842	0.280624	0.208732
YPR027C	3.24047	4.1061	0.58085	0.441053
YPR026W	12.63	13.1657	0.921081	0.900412
YPR025C	35.8121	36.1522	15.5745	8.94139
