Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
SPOM_SPCC569.03	77.1176	0.0	0.0	0.0
SPOM_SPCC569.04	0.0	0.0	0.0	0.0
SPOM_SPCC569.05C	53.0458	0.0	0.0	0.0
SPOM_SPCC569.06	0.0	0.0	0.0	23.7843
SPOM_SPCC569.09	0.0	0.0	0.0	0.0
SPOM_SPCC569.08C	42.8524	0.0	0.0	17.301
SPOM_SPCP1E11.10	0.0	0.0	0.0	0.0
SPOM_SPCP1E11.09C	280.75	0.0	0.0	191.86
SPOM_SPCP1E11.08	0.0	0.0	0.0	161.74
SPOM_SPCP1E11.05C	88.994	56.5949	0.0	11.9767
SPOM_SPCP1E11.04C	58.2394	0.0	0.0	0.0
SPOM_SPCP1E11.03	0.0	1056.09	0.0	0.0
SPOM_SPCP1E11.02	0.0	0.0	0.0	0.0
SPOM_SPCC1827.07C	0.0	0.0	0.0	0.0
SPOM_SPCC1827.04	0.0	0.0	0.0	13.0494
SPOM_SPCC1827.03C	29.7563	0.0	387.609	24.0273
SPOM_SPCC1827.01C	30.0852	0.0	0.0	0.0
SPOM_SPCC70.10	116.047	0.0	0.0	0.0
SPOM_SPCC70.07C	197.577	0.0	0.0	0.0
SPOM_SPCC70.06	0.0	0.0	0.0	18.7861
SPOM_SPCC70.05C	45.8494	29.1575	0.0	6.17032
SPOM_SPCC70.04C	59.7969	0.0	0.0	16.0753
SPOM_SPCC70.02C	913.975	0.0	0.0	147.601
SPOM_SPCC1494.10	0.0	0.0	0.0	0.0
SPOM_SPCC1494.08C	0.0	176.17	0.0	0.0
SPOM_SPCC1494.07	0.0	0.0	0.0	17.6114
SPOM_SPCC1494.03	0.0	0.0	0.0	28.5936
SPOM_SPCC1494.11C	19.9098	0.0	0.0	0.0
SPOM_SPCC1494.02C	298.69	135.963	928.32	517.907
SPOM_SPCC1494.01	98.9839	0.0	0.0	0.0
SPOM_SPCC965.12	21.6223	0.0	0.0	80.9854
SPOM_SPCC965.10	99.4556	0.0	0.0	0.0
SPOM_SPCC965.06	46.3243	0.0	0.0	0.0
SPOM_SPCC965.04C	52.9001	0.0	0.0	21.3576
SPOM_SPCC965.03	0.0	0.0	0.0	77.7148
SPOM_SPCC1840.12	0.0	0.0	0.0	0.0
SPOM_SPCC1840.10	0.0	0.0	1517.26	0.0
SPOM_SPCC1840.09	0.0	0.0	0.0	0.0
SPOM_SPCC1840.08C	0.0	0.0	0.0	15.6561
SPOM_SPCC1840.06	90.6695	0.0	0.0	65.3077
SPOM_SPCC1840.05C	0.0	0.0	0.0	46.8811
SPOM_SPCC1840.13	0.0	0.0	0.0	0.0
SPOM_SPCC1840.01C	157.107	0.0	0.0	63.4297
SPOM_SPCC790.03	0.0	0.0	0.0	0.0
SPOM_SPCC1919.14C	35.8781	0.0	0.0	0.0
SPOM_SPCC1919.13C	0.0	0.0	0.0	50.1025
SPOM_SPCC1919.11	560.756	3175.64	0.0	0.0
SPOM_SPCC1919.09	0.0	0.0	2316.84	143.618
SPOM_SPCC1919.08C	117.242	0.0	0.0	47.3347
SPOM_SPCC1919.06C	0.0	0.0	0.0	17.1834
SPOM_SPCC1919.05	31.9018	121.726	0.0	12.8799
SPOM_SPCC1919.04	35.532	0.0	0.0	0.0
SPOM_SPCC1919.03C	0.0	0.0	0.0	17.9586
SPOM_SPCC830.11C	0.0	0.0	0.0	31.5368
SPOM_SPCC830.07C	149.773	119.466	0.0	35.1921
SPOM_SPCC830.04C	0.0	0.0	0.0	0.0
SPOM_SPCC1620.14C	64.6538	74.3104	0.0	52.3525
SPOM_SPCC1620.13	0.0	0.0	0.0	0.0
SPOM_SPCC1620.11	21.4519	204.632	0.0	34.6435
SPOM_SPCC1620.09C	0.0	0.0	0.0	23.318
SPOM_SPCC1620.08	170.833	0.0	0.0	27.6854
SPOM_SPCC1620.07C	166.105	361.266	0.0	19.1128
SPOM_SPCC1620.05	0.0	0.0	0.0	0.0
SPOM_SPCC1620.02	597.806	2161.79	0.0	0.0
SPOM_SPCC126.14	0.0	0.0	0.0	0.0
SPOM_SPCC126.13C	0.0	0.0	0.0	205.502
SPOM_SPCC126.11C	0.0	0.0	0.0	42.0928
SPOM_SPCC126.10	0.0	0.0	0.0	0.0
SPOM_SPCC126.07C	0.0	0.0	0.0	0.0
SPOM_SPCC126.06	109.741	0.0	0.0	0.0
SPOM_SPCC126.05C	0.0	0.0	0.0	83.3851
SPOM_SPCC126.02C	0.0	0.0	0.0	0.0
SPOM_SPCC126.01C	0.0	0.0	0.0	0.0
SPOM_SPCC576.13	302.451	0.0	0.0	610.549
SPOM_SPCC576.11	0.0	0.0	3545.78	659.393
SPOM_SPCC576.10C	0.0	196.858	0.0	124.978
SPOM_SPCC576.14	96.8404	0.0	0.0	0.0
SPOM_SPCC576.09	0.0	0.0	0.0	6167.89
SPOM_SPCC576.08C	1066.3	290.617	5952.77	1617.35
SPOM_SPCC576.05	0.0	101.503	0.0	0.0
SPOM_SPCC576.03C	55.0878	0.0	0.0	0.0
SPOM_SPCC576.01C	0.0	0.0	0.0	0.0
SPOM_SPCC1739.15	0.0	0.0	239.228	29.6588
SPOM_SPCC1739.12	27.4173	0.0	0.0	11.0693
SPOM_SPCC1739.11C	0.0	36.6785	0.0	7.76193
SPOM_SPCC1739.05	0.0	0.0	1435.79	89.0026
SPOM_SPCC1739.04C	45.516	86.8365	0.0	18.3764
SPOM_SPCC1739.03	0.0	0.0	0.0	16.9756
SPOM_SPCC1739.02C	115.938	0.0	0.0	0.0
SPOM_SPCC1906.04	189.873	88.6341	0.0	0.0
SPOM_SPCC1906.03	0.0	301.832	0.0	0.0
SPOM_SPCC1906.01	120.052	458.077	0.0	96.9386
SPOM_SPCC4F11.04C	141.999	487.635	0.0	34.3979
SPOM_SPCC290.04	0.0	0.0	0.0	0.0
SPOM_SPCC290.02	0.0	0.0	0.0	24.5405
SPOM_SPCC18.18C	0.0	0.0	0.0	0.0
SPOM_SPCC18.16C	166.288	0.0	0.0	33.568
SPOM_SPCC18.12C	0.0	0.0	0.0	371.22
SPOM_SPCC18.10	0.0	0.0	0.0	0.0
SPOM_SPCC18.08	0.0	0.0	0.0	0.0
SPOM_SPCC18.09C	96.9904	0.0	0.0	0.0
SPOM_SPCC18.07	52.6776	0.0	0.0	42.5355
SPOM_SPCC18.19C	0.0	0.0	0.0	0.0
SPOM_SPCC18.04	0.0	0.0	0.0	0.0
SPOM_SPCC18.03	0.0	0.0	0.0	0.0
SPOM_SPCC18.01C	0.0	0.0	0.0	0.0
SPOM_SPCC74.06	16.8254	0.0	0.0	0.0
SPOM_SPCC74.05	691.713	678.656	4633.69	1856.16
SPOM_SPCC74.04	22.6419	0.0	0.0	26.6379
SPOM_SPCC74.01	208.113	132.347	0.0	0.0
SPOM_SPCC737.09C	14.5143	83.0719	0.0	11.7198
SPOM_SPCC297.05	0.0	0.0	0.0	0.0
SPOM_SPCC297.04C	0.0	0.0	0.0	50.7565
SPOM_SPCC297.03	30.2378	57.6883	0.0	12.208
SPOM_SPCC1223.14	0.0	103.013	0.0	152.598
SPOM_SPCC1223.13	0.0	0.0	0.0	0.0
SPOM_SPCC1223.12C	654.09	4034.83	0.0	0.0
SPOM_SPCC1223.06	0.0	0.0	249.283	0.0
SPOM_SPCC1223.05C	1763.59	6703.11	0.0	5698.24
SPOM_SPCC1223.15C	0.0	0.0	0.0	0.0
SPOM_SPCC1223.04C	0.0	104.226	0.0	0.0
SPOM_SPCC1223.03C	0.0	0.0	0.0	0.0
SPOM_SPCC1223.02	0.0	89.6555	0.0	9.48648
SPOM_SPCC285.16C	37.1281	0.0	0.0	7.49495
SPOM_SPCC285.15C	2237.14	0.0	0.0	7168.06
SPOM_SPCC285.12	491.038	0.0	0.0	198.249
SPOM_SPCC285.11	0.0	0.0	0.0	0.0
SPOM_SPCC285.10C	0.0	0.0	0.0	22.1531
SPOM_SPCC285.09C	0.0	0.0	0.0	0.0
SPOM_SPCC285.05	45.8326	0.0	0.0	0.0
SPOM_SPCC1442.16C	111.999	106.837	0.0	90.4355
SPOM_SPCC1442.15C	0.0	0.0	0.0	0.0
SPOM_SPCC1442.13C	604.68	643.034	0.0	45.3598
SPOM_SPCC1442.12	1460.24	0.0	0.0	0.0
SPOM_SPCC1442.11C	169.198	245.264	0.0	0.0
SPOM_SPCC1442.10C	0.0	0.0	0.0	13.4308
SPOM_SPCC1827.08C	0.0	0.0	0.0	0.0
SPOM_SPCC1442.05C	0.0	0.0	0.0	110.863
SPOM_SPCC1442.01	0.0	0.0	0.0	0.0
SPOM_SPCC1450.16C	69.7574	0.0	0.0	21.1226
SPOM_SPCC1450.14C	65.9024	0.0	0.0	53.2142
SPOM_SPCC1450.13C	341.184	0.0	0.0	0.0
SPOM_SPCC1450.07C	0.0	90.2142	0.0	0.0
SPOM_SPCC1450.03	159.104	303.541	0.0	0.0
SPOM_SPCC1450.02	0.0	0.0	0.0	21.3576
SPOM_SPCC191.10	0.0	0.0	0.0	0.0
SPOM_SPCC191.09C	0.0	0.0	0.0	0.0
SPOM_SPCC191.07	2216.24	1686.26	3837.78	475.797
SPOM_SPCC191.06	0.0	0.0	0.0	0.0
SPOM_SPCC417.16	384.69	0.0	0.0	56.0342
SPOM_SPCC417.15	17422.5	1370.29	3118.66	961.651
SPOM_SPCC417.12	0.0	0.0	0.0	0.0
SPOM_SPCC417.10	0.0	0.0	0.0	0.0
SPOM_SPCC417.08	57.6495	0.0	0.0	196.349
SPOM_SPCC417.07C	17.4637	0.0	0.0	7.05069
SPOM_SPCC417.06C	0.0	119.265	0.0	25.2389
SPOM_SPCC417.03	0.0	0.0	0.0	0.0
SPOM_SPCC1902.02	0.0	0.0	0.0	0.0
SPOM_SPCC663.13C	615.305	0.0	0.0	372.63
SPOM_SPCC663.09C	0.0	65.0564	0.0	65.9929
SPOM_SPCC1840.11	0.0	0.0	0.0	156.374
SPOM_SPCC663.08C	142.289	0.0	0.0	0.0
SPOM_SPCC663.06C	0.0	0.0	0.0	12.2287
SPOM_SPCC663.02	0.0	330.869	0.0	35.0093
SPOM_SPCC1739.01	36.8981	0.0	0.0	55.5167
SPOM_SPCC663.01C	97.843	0.0	0.0	79.0052
SPOM_SPCC777.15	0.0	0.0	0.0	0.0
SPOM_SPCC777.17C	0.0	0.0	0.0	0.0
SPOM_SPCC777.12C	105.756	0.0	1377.58	0.0
SPOM_SPCC777.08C	85.3542	0.0	0.0	103.381
SPOM_SPCC777.03C	0.0	0.0	0.0	0.0
SPOM_SPCC13B11.02C	0.0	0.0	0.0	111.229
SPOM_SPCC13B11.01	195.855	0.0	0.0	187.603
SPOM_SPCC162.02C	0.0	0.0	0.0	0.0
SPOM_SPCC162.06C	166.067	0.0	0.0	0.0
SPOM_SPCC162.08C	11.3183	0.0	0.0	0.0
SPOM_SPCC162.09C	0.0	0.0	0.0	0.0
