fg,nc,nt
FGRAMPH1_01T00081,NCU06490,NEUTE1DRAFT_62521
FGRAMPH1_01T00463,NCU00592,NEUTE1DRAFT_150844
FGRAMPH1_01T00467,NCU10129,NEUTE1DRAFT_132316
FGRAMPH1_01T00477,NCU02482,NEUTE1DRAFT_133657
FGRAMPH1_01T00485,NCU00548,NEUTE1DRAFT_92869
FGRAMPH1_01T00489,NCU11186,NEUTE1DRAFT_74174
FGRAMPH1_01T00495,NCU00595,NEUTE1DRAFT_92989
FGRAMPH1_01T00499,NCU00593,NEUTE1DRAFT_126848
FGRAMPH1_01T00505,NCU00537,NEUTE1DRAFT_106413
FGRAMPH1_01T00513,NCU00669,NEUTE1DRAFT_89662
FGRAMPH1_01T00515,NCU00670,NEUTE1DRAFT_118569
FGRAMPH1_01T00517,NCU00671,NEUTE1DRAFT_149556
FGRAMPH1_01T00523,NCU00674,NEUTE1DRAFT_89672
FGRAMPH1_01T00657,NCU00541,NEUTE1DRAFT_74162
FGRAMPH1_01T00693,NCU00542,NEUTE1DRAFT_74165
FGRAMPH1_01T00697,NCU00665,NEUTE1DRAFT_74432
FGRAMPH1_01T00701,NCU00614,NEUTE1DRAFT_93026
FGRAMPH1_01T00703,NCU00561,NEUTE1DRAFT_126815
FGRAMPH1_01T00705,NCU02006,NEUTE1DRAFT_113788
FGRAMPH1_01T00707,NCU02007,NEUTE1DRAFT_96436
FGRAMPH1_01T00709,NCU00560,NEUTE1DRAFT_92904
FGRAMPH1_01T00711,NCU00559,NEUTE1DRAFT_92901
FGRAMPH1_01T00719,NCU00649,NEUTE1DRAFT_93100
FGRAMPH1_01T00721,NCU00650,NEUTE1DRAFT_150889
FGRAMPH1_01T00731,NCU00723,NEUTE1DRAFT_104956
FGRAMPH1_01T00741,NCU02458,NEUTE1DRAFT_123899
FGRAMPH1_01T00743,NCU08363,NEUTE1DRAFT_149949
FGRAMPH1_01T00747,NCU03979,NEUTE1DRAFT_69237
FGRAMPH1_01T00749,NCU09144,NEUTE1DRAFT_72040
FGRAMPH1_01T00753,NCU10847,NEUTE1DRAFT_142084
FGRAMPH1_01T00755,NCU16423,NEUTE1DRAFT_149762
FGRAMPH1_01T00759,NCU00941,NEUTE1DRAFT_90181
FGRAMPH1_01T00769,NCU02077,NEUTE1DRAFT_104708
FGRAMPH1_01T00779,NCU02083,NEUTE1DRAFT_89270
FGRAMPH1_01T00781,NCU11209,NEUTE1DRAFT_89302
FGRAMPH1_01T00783,NCU02067,NEUTE1DRAFT_125348
FGRAMPH1_01T00785,NCU02066,NEUTE1DRAFT_10784
FGRAMPH1_01T00787,NCU03225,NEUTE1DRAFT_91049
FGRAMPH1_01T00789,NCU03215,NEUTE1DRAFT_150113
FGRAMPH1_01T00793,NCU02450,NEUTE1DRAFT_139764
FGRAMPH1_01T00797,NCU03460,NEUTE1DRAFT_84674
FGRAMPH1_01T00801,NCU01768,NEUTE1DRAFT_123067
FGRAMPH1_01T00803,NCU01606,NEUTE1DRAFT_117317
FGRAMPH1_01T00807,NCU03409,NEUTE1DRAFT_149140
FGRAMPH1_01T00809,NCU03406,NEUTE1DRAFT_44457
FGRAMPH1_01T00813,NCU01516,NEUTE1DRAFT_130327
FGRAMPH1_01T00815,NCU01596,NEUTE1DRAFT_83600
FGRAMPH1_01T00817,NCU01597,NEUTE1DRAFT_83603
FGRAMPH1_01T00819,NCU03557,NEUTE1DRAFT_123472
FGRAMPH1_01T00823,NCU03558,NEUTE1DRAFT_95501
FGRAMPH1_01T00835,NCU01717,NEUTE1DRAFT_44171
FGRAMPH1_01T00853,NCU05418,NEUTE1DRAFT_65655
FGRAMPH1_01T00855,NCU10346,NEUTE1DRAFT_84339
FGRAMPH1_01T00857,NCU03405,NEUTE1DRAFT_147474
FGRAMPH1_01T00863,NCU06768,NEUTE1DRAFT_84136
FGRAMPH1_01T00871,NCU06837,NEUTE1DRAFT_130605
FGRAMPH1_01T00873,NCU06838,NEUTE1DRAFT_123216
FGRAMPH1_01T00875,NCU06839,NEUTE1DRAFT_147333
FGRAMPH1_01T00879,NCU02286,NEUTE1DRAFT_86207
FGRAMPH1_01T00885,NCU02282,NEUTE1DRAFT_67536
FGRAMPH1_01T00893,NCU02236,NEUTE1DRAFT_148180
FGRAMPH1_01T00911,NCU09432,NEUTE1DRAFT_66355
FGRAMPH1_01T00919,NCU03748,NEUTE1DRAFT_58317
FGRAMPH1_01T00925,NCU09435,NEUTE1DRAFT_85042
FGRAMPH1_01T00927,NCU09436,NEUTE1DRAFT_66361
FGRAMPH1_01T00931,NCU03033,NEUTE1DRAFT_126747
FGRAMPH1_01T00941,NCU00513,NEUTE1DRAFT_150780
FGRAMPH1_01T00947,NCU00504,NEUTE1DRAFT_150775
FGRAMPH1_01T00959,NCU02531,NEUTE1DRAFT_150529
FGRAMPH1_01T00967,NCU08604,NEUTE1DRAFT_127005
FGRAMPH1_01T00983,NCU00501,NEUTE1DRAFT_92790
FGRAMPH1_01T00985,NCU00502,NEUTE1DRAFT_119204
FGRAMPH1_01T00987,NCU09319,NEUTE1DRAFT_91476
FGRAMPH1_01T00989,NCU02536,NEUTE1DRAFT_92167
FGRAMPH1_01T00991,NCU02534,NEUTE1DRAFT_119090
FGRAMPH1_01T00995,NCU07932,NEUTE1DRAFT_78259
FGRAMPH1_01T01003,NCU09998,NEUTE1DRAFT_126288
FGRAMPH1_01T01005,NCU09996,NEUTE1DRAFT_51523
FGRAMPH1_01T01011,NCU09994,NEUTE1DRAFT_126285
FGRAMPH1_01T01013,NCU10058,NEUTE1DRAFT_118962
FGRAMPH1_01T01029,NCU00969,NEUTE1DRAFT_55546
FGRAMPH1_01T01041,NCU09130,NEUTE1DRAFT_90766
FGRAMPH1_01T01043,NCU09129,NEUTE1DRAFT_72075
FGRAMPH1_01T01045,NCU09128,NEUTE1DRAFT_125957
FGRAMPH1_01T01047,NCU09127,NEUTE1DRAFT_149994
FGRAMPH1_01T01059,NCU07958,NEUTE1DRAFT_120724
FGRAMPH1_01T01063,NCU16411,NEUTE1DRAFT_51522
FGRAMPH1_01T01071,NCU08359,NEUTE1DRAFT_149946
FGRAMPH1_01T01073,NCU03270,NEUTE1DRAFT_126029
FGRAMPH1_01T01085,NCU07205,NEUTE1DRAFT_74860
FGRAMPH1_01T01087,NCU00963,NEUTE1DRAFT_90232
FGRAMPH1_01T01089,NCU02656,NEUTE1DRAFT_126410
FGRAMPH1_01T01093,NCU02659,NEUTE1DRAFT_133512
FGRAMPH1_01T01095,NCU02657,NEUTE1DRAFT_73194
FGRAMPH1_01T01105,NCU09136,NEUTE1DRAFT_90752
FGRAMPH1_01T01107,NCU09139,NEUTE1DRAFT_149982
FGRAMPH1_01T01109,NCU09140,NEUTE1DRAFT_133099
FGRAMPH1_01T01113,NCU09142,NEUTE1DRAFT_90737
FGRAMPH1_01T01115,NCU09143,NEUTE1DRAFT_105435
FGRAMPH1_01T01117,NCU10497,NEUTE1DRAFT_150374
FGRAMPH1_01T01127,NCU02750,NEUTE1DRAFT_126325
FGRAMPH1_01T01141,NCU02733,NEUTE1DRAFT_73037
FGRAMPH1_01T01149,NCU02737,NEUTE1DRAFT_91726
FGRAMPH1_01T01151,NCU02738,NEUTE1DRAFT_142759
FGRAMPH1_01T01153,NCU02739,NEUTE1DRAFT_105869
FGRAMPH1_01T01157,NCU02731,NEUTE1DRAFT_150357
FGRAMPH1_01T01159,NCU16374,NEUTE1DRAFT_118990
FGRAMPH1_01T01163,NCU02729,NEUTE1DRAFT_150359
FGRAMPH1_01T01165,NCU02730,NEUTE1DRAFT_126343
FGRAMPH1_01T01167,NCU07124,NEUTE1DRAFT_48354
FGRAMPH1_01T01169,NCU02997,NEUTE1DRAFT_73964
FGRAMPH1_01T01173,NCU00522,NEUTE1DRAFT_133866
FGRAMPH1_01T01175,NCU00521,NEUTE1DRAFT_74131
FGRAMPH1_01T01177,NCU02740,NEUTE1DRAFT_51714
FGRAMPH1_01T01183,NCU07957,NEUTE1DRAFT_128333
FGRAMPH1_01T01189,NCU03081,NEUTE1DRAFT_91384
FGRAMPH1_01T01191,NCU03082,NEUTE1DRAFT_91382
FGRAMPH1_01T01195,NCU03083,NEUTE1DRAFT_126197
FGRAMPH1_01T01203,NCU11251,NEUTE1DRAFT_72434
FGRAMPH1_01T01211,NCU03199,NEUTE1DRAFT_96785
FGRAMPH1_01T01221,NCU03203,NEUTE1DRAFT_133234
FGRAMPH1_01T01223,NCU03204,NEUTE1DRAFT_91105
FGRAMPH1_01T01225,NCU03205,NEUTE1DRAFT_142486
FGRAMPH1_01T01237,NCU09261,NEUTE1DRAFT_115516
FGRAMPH1_01T01241,NCU00949,NEUTE1DRAFT_132904
FGRAMPH1_01T01245,NCU03018,NEUTE1DRAFT_133818
FGRAMPH1_01T01247,NCU03020,NEUTE1DRAFT_150742
FGRAMPH1_01T01249,NCU03019,NEUTE1DRAFT_92698
FGRAMPH1_01T01257,NCU09265,NEUTE1DRAFT_74601
FGRAMPH1_01T01259,NCU09263,NEUTE1DRAFT_106609
FGRAMPH1_01T01263,NCU09264,NEUTE1DRAFT_74605
FGRAMPH1_01T01265,NCU00953,NEUTE1DRAFT_125717
FGRAMPH1_01T01269,NCU00952,NEUTE1DRAFT_96584
FGRAMPH1_01T01277,NCU02541,NEUTE1DRAFT_119086
FGRAMPH1_01T01283,NCU08111,NEUTE1DRAFT_125124
FGRAMPH1_01T01291,NCU02538,NEUTE1DRAFT_119089
FGRAMPH1_01T01293,NCU11234,NEUTE1DRAFT_106071
FGRAMPH1_01T01295,NCU11246,NEUTE1DRAFT_126009
FGRAMPH1_01T01297,NCU03292,NEUTE1DRAFT_72221
FGRAMPH1_01T01303,NCU03307,NEUTE1DRAFT_72178
FGRAMPH1_01T01305,NCU03048,NEUTE1DRAFT_55260
FGRAMPH1_01T01311,NCU00499,NEUTE1DRAFT_119203
FGRAMPH1_01T01323,NCU03315,NEUTE1DRAFT_90849
FGRAMPH1_01T01333,NCU00957,NEUTE1DRAFT_149778
FGRAMPH1_01T01339,NCU02797,NEUTE1DRAFT_119280
FGRAMPH1_01T01343,NCU02798,NEUTE1DRAFT_119279
FGRAMPH1_01T01345,NCU03253,NEUTE1DRAFT_142442
FGRAMPH1_01T01351,NCU16391,NEUTE1DRAFT_133193
FGRAMPH1_01T01369,NCU02837,NEUTE1DRAFT_89652
FGRAMPH1_01T01373,NCU03319,NEUTE1DRAFT_118802
FGRAMPH1_01T01385,NCU03246,NEUTE1DRAFT_133197
