Gene stable ID,Saccharomyces cerevisiae gene stable ID,Schizosaccharomyces pombe gene stable ID,Saccharomyces cerevisiae homology type,Schizosaccharomyces pombe homology type
NCU09300,YMR277W,SPOM_SPAC19B12.05C,ortholog_one2one,ortholog_one2one
NCU11409,YPL008W,SPOM_SPAC3G6.11,ortholog_one2one,ortholog_one2one
NCU09297,YLR272C,SPOM_SPBC776.13,ortholog_one2one,ortholog_one2one
NCU09291,YPR037C,SPOM_SPBC146.04,ortholog_one2one,ortholog_one2one
NCU09290,YJL001W,SPOM_SPBC4C3.10C,ortholog_one2one,ortholog_one2one
NCU09437,YGR090W,SPOM_SPBC776.08C,ortholog_one2one,ortholog_one2one
NCU09438,YPR189W,SPOM_SPCC1919.05,ortholog_one2one,ortholog_one2one
NCU09442,YPL225W,SPOM_SPBC3E7.07C,ortholog_one2one,ortholog_one2one
NCU09993,YDR334W,SPOM_SPAC11E3.01C,ortholog_one2one,ortholog_one2one
NCU09025,YBL080C,SPOM_SPAC343.13,ortholog_one2one,ortholog_one2one
NCU09063,YLR086W,SPOM_SPBC146.03C,ortholog_one2one,ortholog_one2one
NCU06859,YDR527W,SPOM_SPBC947.13,ortholog_one2one,ortholog_one2one
NCU06866,YCR024C,SPOM_SPBC1198.10C,ortholog_one2one,ortholog_one2one
NCU06868,YHR098C,SPOM_SPBC4.03C,ortholog_one2one,ortholog_one2one
NCU06869,YLR115W,SPOM_SPBC1709.15C,ortholog_one2one,ortholog_one2one
NCU06870,YMR296C,SPOM_SPBC18E5.02C,ortholog_one2one,ortholog_one2one
NCU06875,YJR074W,SPOM_SPCC1840.01C,ortholog_one2one,ortholog_one2one
NCU06876,YDL125C,SPOM_SPCC1442.14C,ortholog_one2one,ortholog_one2one
NCU06892,YHL015W,SPOM_SPCC576.09,ortholog_one2one,ortholog_one2one
NCU06914,YPR033C,SPOM_SPBC2G2.12,ortholog_one2one,ortholog_one2one
NCU06921,YDR364C,SPOM_SPBC6B1.10,ortholog_one2one,ortholog_one2one
NCU06923,YLR244C,SPOM_SPBC3E7.10,ortholog_one2one,ortholog_one2one
NCU17177,YLR195C,SPOM_SPBC2G2.11,ortholog_one2one,ortholog_one2one
NCU06941,YLR200W,SPOM_SPAC3A11.13,ortholog_one2one,ortholog_one2one
NCU06942,YPR173C,SPOM_SPAC2G11.06,ortholog_one2one,ortholog_one2one
NCU09572,YLR370C,SPOM_SPBC1778.08C,ortholog_one2one,ortholog_one2one
NCU09571,YNL062C,SPOM_SPBC800.08,ortholog_one2one,ortholog_one2one
NCU09561,YOL146W,SPOM_SPAC227.16C,ortholog_one2one,ortholog_one2one
NCU09560,YHR008C,SPOM_SPAC1486.01,ortholog_one2one,ortholog_one2one
NCU10053,YOR074C,SPOM_SPAC15E1.04,ortholog_one2one,ortholog_one2one
NCU09721,YKL135C,SPOM_SPBC947.02,ortholog_one2one,ortholog_one2one
NCU09715,YBR126C,SPOM_SPAC328.03,ortholog_one2one,ortholog_one2one
NCU09711,YNL212W,SPOM_SPBC1685.14C,ortholog_one2one,ortholog_one2one
NCU09708,YOL022C,SPOM_SPBC25H2.15,ortholog_one2one,ortholog_one2one
NCU09700,YJL111W,SPOM_SPBC25H2.12C,ortholog_one2one,ortholog_one2one
NCU09699,YJL127C,SPOM_SPAC21E11.04,ortholog_one2one,ortholog_one2one
NCU12023,YHL004W,SPOM_SPAC24C9.10C,ortholog_one2one,ortholog_one2one
NCU04548,YNL262W,SPOM_SPBC25H2.13C,ortholog_one2one,ortholog_one2one
NCU04541,YDR486C,SPOM_SPCC162.06C,ortholog_one2one,ortholog_one2one
NCU06168,YKL191W,SPOM_SPBC17D1.02,ortholog_one2one,ortholog_one2one
NCU06149,YDL160C,SPOM_SPBC776.09,ortholog_one2one,ortholog_one2one
NCU06141,YPL172C,SPOM_SPBC365.02C,ortholog_one2one,ortholog_one2one
NCU06118,YJL010C,SPOM_SPAC6G9.02C,ortholog_one2one,ortholog_one2one
NCU06113,YOR289W,SPOM_SPAC688.03C,ortholog_one2one,ortholog_one2one
NCU06110,YGR144W,SPOM_SPBC26H8.01,ortholog_one2one,ortholog_one2one
NCU06108,YGL221C,SPOM_SPCC126.12,ortholog_one2one,ortholog_one2one
NCU06107,YGL220W,SPOM_SPAC8C9.11,ortholog_one2one,ortholog_one2one
NCU06104,YOR006C,SPOM_SPAC1F3.04C,ortholog_one2one,ortholog_one2one
NCU06103,YOL023W,SPOM_SPBC1271.15C,ortholog_one2one,ortholog_one2one
NCU06099,YGR054W,SPOM_SPBC4B4.04,ortholog_one2one,ortholog_one2one
NCU06091,YDR372C,SPOM_SPAC5D6.13,ortholog_one2one,ortholog_one2one
NCU06086,YIL070C,SPOM_SPBC776.07,ortholog_one2one,ortholog_one2one
NCU06057,YJR013W,SPOM_SPBC13E7.05,ortholog_one2one,ortholog_one2one
NCU06054,YHR190W,SPOM_SPBC646.05C,ortholog_one2one,ortholog_one2one
NCU06047,YGL123W,SPOM_SPCC576.08C,ortholog_one2one,ortholog_one2one
NCU06035,YAL003W,SPOM_SPCC1450.04,ortholog_one2one,ortholog_one2one
NCU06033,YDR434W,SPOM_SPAC1F12.09,ortholog_one2one,ortholog_one2one
NCU06029,YGR277C,SPOM_SPAC1F12.08,ortholog_one2one,ortholog_one2one
NCU06021,YPR169W,SPOM_SPAC1A6.02,ortholog_one2one,ortholog_one2one
NCU06017,YOR251C,SPOM_SPCC4B3.01,ortholog_one2one,ortholog_one2one
NCU11300,YDL008W,SPOM_SPAC343.03,ortholog_one2one,ortholog_one2one
NCU02459,YJR008W,SPOM_SPAC4H3.04C,ortholog_one2one,ortholog_one2one
NCU02450,YER086W,SPOM_SPBC1677.03C,ortholog_one2one,ortholog_one2one
NCU02438,YDR148C,SPOM_SPBC776.15C,ortholog_one2one,ortholog_one2one
NCU02433,YNL223W,SPOM_SPAC19B12.08,ortholog_one2one,ortholog_one2one
NCU02428,YLR186W,SPOM_SPAC18G6.07C,ortholog_one2one,ortholog_one2one
NCU02422,YDL149W,SPOM_SPBC15D4.07C,ortholog_one2one,ortholog_one2one
NCU02421,YNL041C,SPOM_SPBC776.10C,ortholog_one2one,ortholog_one2one
NCU02417,YPR051W,SPOM_SPBC15D4.06,ortholog_one2one,ortholog_one2one
NCU02416,YNR008W,SPOM_SPBC776.14,ortholog_one2one,ortholog_one2one
NCU02415,YIL108W,SPOM_SPAC607.06C,ortholog_one2one,ortholog_one2one
NCU02414,YDR211W,SPOM_SPAC8C9.15C,ortholog_one2one,ortholog_one2one
NCU02409,YLR386W,SPOM_SPBC25H2.03,ortholog_one2one,ortholog_one2one
NCU02407,YFL018C,SPOM_SPAC1002.09C,ortholog_one2one,ortholog_one2one
NCU02406,YLR336C,SPOM_SPAC24C9.11,ortholog_one2one,ortholog_one2one
NCU02402,YLR383W,SPOM_SPCC5E4.06,ortholog_one2one,ortholog_one2one
NCU02396,YGR029W,SPOM_SPAC3G6.08,ortholog_one2one,ortholog_one2one
NCU02395,YOR278W,SPOM_SPAC31G5.08,ortholog_one2one,ortholog_one2one
NCU02387,YDR335W,SPOM_SPAC328.01C,ortholog_one2one,ortholog_one2one
NCU02381,YER026C,SPOM_SPCC1442.12,ortholog_one2one,ortholog_one2one
NCU02380,YIL078W,SPOM_SPBC25H2.02,ortholog_one2one,ortholog_one2one
NCU02378,YCR061W,SPOM_SPBC3B8.06,ortholog_one2one,ortholog_one2one
NCU02374,YDR427W,SPOM_SPAC607.05,ortholog_one2one,ortholog_one2one
NCU02368,YLR088W,SPOM_SPAC1002.11,ortholog_one2one,ortholog_one2one
NCU02366,YLR304C,SPOM_SPAC24C9.06C,ortholog_one2one,ortholog_one2one
NCU02357,YMR308C,SPOM_SPCC1840.03,ortholog_one2one,ortholog_one2one
NCU02353,YFL044C,SPOM_SPAC24C9.14,ortholog_one2one,ortholog_one2one
NCU10067,YFR052W,SPOM_SPBC16G5.01,ortholog_one2one,ortholog_one2one
NCU10066,YDL145C,SPOM_SPBPJ4664.04,ortholog_one2one,ortholog_one2one
NCU02349,YOR336W,SPOM_SPBPJ4664.06,ortholog_one2one,ortholog_one2one
NCU02348,YGL163C,SPOM_SPAC15A10.03C,ortholog_one2one,ortholog_one2one
NCU02325,YMR217W,SPOM_SPAP7G5.02C,ortholog_one2one,ortholog_one2one
NCU02305,YBR003W,SPOM_SPBPJ4664.01,ortholog_one2one,ortholog_one2one
NCU10776,YKL113C,SPOM_SPAC3G6.06C,ortholog_one2one,ortholog_one2one
NCU02284,YNL132W,SPOM_SPAC20G8.09C,ortholog_one2one,ortholog_one2one
NCU02282,YKL004W,SPOM_SPAC3H8.06,ortholog_one2one,ortholog_one2one
NCU02274,YLR058C,SPOM_SPAC24C9.12C,ortholog_one2one,ortholog_one2one
NCU02268,YER157W,SPOM_SPBC1539.05,ortholog_one2one,ortholog_one2one
NCU02264,YGR078C,SPOM_SPAC3H8.07C,ortholog_one2one,ortholog_one2one
NCU02260,YDR394W,SPOM_SPCC576.10C,ortholog_one2one,ortholog_one2one
NCU02259,YGR057C,SPOM_SPBC24C6.08C,ortholog_one2one,ortholog_one2one
NCU02256,YOR001W,SPOM_SPAC1F3.01,ortholog_one2one,ortholog_one2one
NCU02255,YGR216C,SPOM_SPBC30D10.11,ortholog_one2one,ortholog_one2one
NCU02245,YPL150W,SPOM_SPAC890.03,ortholog_one2one,ortholog_one2one
NCU02237,YLL035W,SPOM_SPCC830.03,ortholog_one2one,ortholog_one2one
NCU02234,YJL095W,SPOM_SPAC1F3.02C,ortholog_one2one,ortholog_one2one
NCU02232,YIR008C,SPOM_SPAC6B12.10C,ortholog_one2one,ortholog_one2one
NCU02231,YOL093W,SPOM_SPAC6B12.09,ortholog_one2one,ortholog_one2one
NCU02230,YOL090W,SPOM_SPBC19G7.01C,ortholog_one2one,ortholog_one2one
NCU02228,YGL155W,SPOM_SPAC2E1P5.04C,ortholog_one2one,ortholog_one2one
NCU02226,YPR118W,SPOM_SPBC23E6.10C,ortholog_one2one,ortholog_one2one
NCU02225,YMR218C,SPOM_SPCC285.14,ortholog_one2one,ortholog_one2one
NCU02224,YER021W,SPOM_SPBC119.01,ortholog_one2one,ortholog_one2one
NCU02223,YDR145W,SPOM_SPAC15A10.02,ortholog_one2one,ortholog_one2one
NCU02208,YOR361C,SPOM_SPAC25G10.08,ortholog_one2one,ortholog_one2one
NCU02207,YIL142W,SPOM_SPAC1D4.04,ortholog_one2one,ortholog_one2one
NCU02203,YDR266C,SPOM_SPCC1223.01,ortholog_one2one,ortholog_one2one
NCU02202,YHR079C,SPOM_SPAC167.01,ortholog_one2one,ortholog_one2one
NCU08135,YDR097C,SPOM_SPCC285.16C,ortholog_one2one,ortholog_one2one
NCU08138,YKL087C,SPOM_SPAC24C9.02C,ortholog_one2one,ortholog_one2one
NCU08151,YMR156C,SPOM_SPAC23C11.04C,ortholog_one2one,ortholog_one2one
NCU05757,YJL126W,SPOM_SPBC651.02,ortholog_one2one,ortholog_one2one
NCU05781,YJL030W,SPOM_SPBC20F10.06,ortholog_one2one,ortholog_one2one
NCU05782,YGL078C,SPOM_SPBC17D1.06,ortholog_one2one,ortholog_one2one
NCU05783,YBL020W,SPOM_SPBC887.19,ortholog_one2one,ortholog_one2one
