Gene stable ID	Saccharomyces cerevisiae gene stable ID	Schizosaccharomyces pombe gene stable ID	Saccharomyces cerevisiae homology type	Schizosaccharomyces pombe homology type
NCU15815				
NCU15816				
NCU15817				
NCU15828				
NCU15825				
NCU15826				
NCU15827				
NCU15819				
NCU15820				
NCU15821				
NCU15760				
NCU15761				
NCU15762				
NCU15763				
NCU15764				
NCU17360				
NCU15766				
NCU17362				
NCU17363				
NCU15769				
NCU15770				
NCU15771				
NCU15772				
NCU15773				
NCU17369				
NCU15775				
NCU15776				
NCU17372				
NCU15778				
NCU15779				
NCU15780				
NCU15781				
NCU15782				
NCU17378				
NCU15784				
NCU15785				
NCU17381				
NCU15787				
NCU15788				
NCU17384				
NCU15790				
NCU15791				
NCU17387				
NCU15792				
NCU15793				
NCU17390				
NCU15795				
NCU15796				
NCU17393				
NCU15798				
NCU15799				
NCU17396				
NCU15801				
NCU15802				
NCU17399				
NCU15804				
NCU15805				
NCU17402				
NCU15807				
NCU15808				
NCU17405				
NCU15810				
NCU15811				
NCU17408				
NCU17409				
NCU15814				
NCU15689				
NCU15690				
NCU15691				
NCU15692				
NCU15693				
NCU15694				
NCU15695				
NCU15696				
NCU17294				
NCU15698				
NCU15699				
NCU17297				
NCU15701				
NCU15702				
NCU17300				
NCU15703				
NCU15704				
NCU17303				
NCU15706				
NCU15707				
NCU17306				
NCU15709				
NCU15710				
NCU15711				
NCU15712				
NCU15713				
NCU17312				
NCU15715				
NCU15716				
NCU15717				
NCU15718				
NCU15719				
NCU17318				
NCU17319				
NCU15726				
NCU17321				
NCU17322				
NCU15729				
NCU15730				
NCU15731				
NCU15732				
NCU17327				
NCU15734				
NCU15735				
NCU15736				
NCU15737				
NCU15738				
NCU15739				
NCU17334				
NCU15740				
NCU15741				
NCU17337				
NCU15743				
NCU15744				
NCU15745				
NCU15746				
NCU17342				
NCU15748				
NCU15749				
NCU15750				
NCU17346				
NCU15752				
NCU15753				
NCU17349				
NCU15755				
NCU15756				
NCU15757				
NCU17353				
NCU15759				
NCU09306		SPAC11D3.03c		ortholog_one2one
NCU11424				
NCU09305				
NCU09304		SPCC417.11c		ortholog_one2one
NCU09303				
NCU09302	YDL156W		ortholog_one2one	
NCU09301				
NCU09300	YMR277W	SPAC19B12.05c	ortholog_one2one	ortholog_one2one
NCU09299				
NCU11409	YPL008W	SPAC3G6.11	ortholog_one2one	ortholog_one2one
NCU11410	YDL017W	SPBC776.12c	ortholog_one2one	ortholog_one2one
NCU09297	YLR272C	SPBC776.13	ortholog_one2one	ortholog_one2one
NCU09296				
NCU09295				
NCU14160				
NCU09294				
NCU09293				
NCU15359				
NCU17154				
NCU17155				
NCU09291	YPR037C	SPBC146.04	ortholog_one2one	ortholog_one2one
NCU09290	YJL001W	SPBC4C3.10c	ortholog_one2one	ortholog_one2one
NCU09289				
NCU09288	YIL050W	SPBC20F10.10	ortholog_one2many	ortholog_one2one
NCU09288	YER059W	SPBC20F10.10	ortholog_one2many	ortholog_one2one
NCU09287				
NCU11411				
NCU09285		SPBC1773.06c		ortholog_one2one
NCU12058	YML120C		ortholog_many2many	
NCU12057				
NCU09283	YJL218W	SPAC1039.08	ortholog_one2many	ortholog_many2many
NCU09284				
NCU15358				
NCU09282				
NCU09281				
NCU09280				
NCU17157				
NCU09279	YFL041W		ortholog_many2many	
NCU09278	YKL107W		ortholog_many2many	
NCU09277				
NCU09276				
NCU09275				
NCU09274				
NCU14159				
NCU09273				
NCU09272				
NCU15357				
NCU09271				
NCU09270				
NCU09430				
NCU09431				
NCU09432	YBL106C	SPAC1F3.03	ortholog_one2many	ortholog_one2one
NCU09432	YPR032W	SPAC1F3.03	ortholog_one2many	ortholog_one2one
NCU09433				
NCU09434		SPCC736.11		ortholog_one2one
NCU09435	YMR061W	SPAC6F12.17	ortholog_one2one	ortholog_one2one
NCU09436	YJL115W	SPCC663.05c	ortholog_one2one	ortholog_one2one
NCU09437	YGR090W	SPBC776.08c	ortholog_one2one	ortholog_one2one
NCU09438	YPR189W	SPCC1919.05	ortholog_one2one	ortholog_one2one
NCU15356				
NCU09439				
NCU09440				
NCU09441				
NCU09442	YPL225W	SPBC3E7.07c	ortholog_one2one	ortholog_one2one
NCU09443				
NCU15355				
NCU09444				
NCU09445				
NCU09447	YML120C		ortholog_many2many	
NCU09448				
NCU09449				
NCU09450	YIL075C	SPBC17D11.07c	ortholog_one2one	ortholog_one2one
NCU09451				
NCU17161				
NCU09452				
NCU09453				
NCU09455				
NCU09456				
NCU09458				
NCU09459				
NCU09460				
NCU09993	YDR334W	SPAC11E3.01c	ortholog_one2one	ortholog_one2one
NCU12052				
NCU09992				
NCU15354				
NCU12051				
NCU12050				
NCU09990				
NCU10539				
NCU10538				
NCU09988				
NCU09986				
NCU09020		SPCC794.06		ortholog_many2many
NCU09020		SPAPB8E5.03		ortholog_many2many
NCU15353				
NCU09022				
NCU09023	YFL041W		ortholog_many2many	
NCU09024				
NCU09025	YBL080C	SPAC343.13	ortholog_one2one	ortholog_one2one
NCU09026				
NCU09027				
NCU09028				
NCU09029				
NCU09030				
NCU15352				
NCU09031				
NCU09032				
NCU09033				
NCU09034				
NCU09035				
NCU09036				
NCU15351				
NCU09037				
NCU09038				
NCU09039	YOL163W		ortholog_one2many	
NCU09039	YOL162W		ortholog_one2many	
NCU09040				
NCU09041				
NCU09042				
NCU09043				
NCU09045				
NCU09046				
NCU15350				
NCU17167				
NCU09048		SPBC1861.04c		ortholog_one2one
NCU09049				
NCU09050				
NCU11396				
NCU11395				
NCU09052				
NCU09053				
NCU09054				
NCU09055				
NCU09056				
NCU09057				
NCU09058				
NCU09059				
NCU09060				
NCU09061				
NCU09062				
NCU09063	YLR086W	SPBC146.03c	ortholog_one2one	ortholog_one2one
NCU11000				
NCU06859	YDR527W	SPBC947.13	ortholog_one2one	ortholog_one2one
NCU06860				
NCU06861				
NCU06862				
NCU06863				
NCU14158				
NCU15349				
NCU15348				
NCU06864				
NCU06866	YCR024C	SPBC1198.10c	ortholog_one2one	ortholog_one2one
NCU06867				
NCU06868	YHR098C	SPBC4.03c	ortholog_one2one	ortholog_one2one
NCU06869	YLR115W	SPBC1709.15c	ortholog_one2one	ortholog_one2one
NCU10436	YMR305C		ortholog_one2many	
NCU10436	YGR279C		ortholog_one2many	
NCU06870	YMR296C	SPBC18E5.02c	ortholog_one2one	ortholog_one2one
NCU06871	YGR032W	SPCC1840.02c	ortholog_one2many	ortholog_one2many
NCU06871	YLR342W	SPCC1840.02c	ortholog_one2many	ortholog_one2many
NCU06871	YGR032W	SPBC19G7.05c	ortholog_one2many	ortholog_one2many
NCU06871	YLR342W	SPBC19G7.05c	ortholog_one2many	ortholog_one2many
NCU06871	YGR032W	SPAC19B12.03	ortholog_one2many	ortholog_one2many
NCU06871	YLR342W	SPAC19B12.03	ortholog_one2many	ortholog_one2many
NCU06871	YGR032W	SPAC24C9.07c	ortholog_one2many	ortholog_one2many
NCU06871	YLR342W	SPAC24C9.07c	ortholog_one2many	ortholog_one2many
NCU06872				
NCU06874		SPBC19G7.04		ortholog_one2one
NCU06875	YJR074W	SPCC1840.01c	ortholog_one2one	ortholog_one2one
NCU06876	YDL125C	SPCC1442.14c	ortholog_one2one	ortholog_one2one
NCU06877	YLR380W	SPAC589.09	ortholog_one2one	ortholog_one2many
NCU06877	YLR380W	SPAC3H8.02	ortholog_one2one	ortholog_one2many
NCU06878				
NCU06879				
NCU06880		SPCC330.06c		ortholog_one2one
NCU06881				
NCU06882	YKR017C	SPAC328.02	ortholog_one2one	ortholog_one2one
NCU06883	YLR016C		ortholog_one2one	
NCU06884				
NCU06885				
NCU06886				
NCU06887				
NCU06888				
NCU17170				
NCU06889				
NCU06890				
NCU17171				
NCU12046	YHL021C		ortholog_one2one	
NCU06892	YHL015W	SPCC576.09	ortholog_one2one	ortholog_one2one
NCU06893				
NCU06894				
NCU06895				
NCU06896				
NCU06897				
NCU06898				
NCU06899				
NCU12045				
NCU06901				
NCU06902				
NCU12044				
NCU06903				
NCU06904				
NCU17172				
NCU06905				
NCU06906				
NCU06907				
NCU06908				
NCU06910				
NCU06911				
NCU06912				
NCU15347				
NCU06913				
