YL1	BIv3	RR1.27	RR1.41
FG2G05850	FGSG_08389	FGRRES_08389	FGRAMPH1_01T09835
FG3G01790	FGSG_12623	FGRRES_12623_M	FGRAMPH1_01T16415
FG1G16130	FGSG_01058	FGRRES_01058	FGRAMPH1_01T02645
FG1G45470	FGSG_10094	FGRRES_10094	FGRAMPH1_01T07267
FG4G32110	FGSG_13546	FGRRES_13546	FGRAMPH1_01T27451
FG1G28190	FGSG_01859	FGRRES_01859	FGRAMPH1_01T04503
FG3G07950	FGSG_05228	FGRRES_05228	FGRAMPH1_01T17415
FG3G34330	FGSG_11312	FGRRES_11312_M	FGRAMPH1_01T21755
FG1G22410	FGSG_11957	FGRRES_11957	FGRAMPH1_01T03579
FG4G10790	FGSG_07111	FGRRES_07111	FGRAMPH1_01T23983
FG1G41030	FGSG_02745	FGRRES_02745	FGRAMPH1_01T06593
FG1G09210	FGSG_00619	FGRRES_00619	FGRAMPH1_01T01571
FG1G30500	FGSG_12057	FGRRES_12057	FGRAMPH1_01T04843
FG1G03830	FGSG_00256	FGRRES_00256	FGRAMPH1_01T00691
FG4G36830	FGSG_08968	FGRRES_08968	FGRAMPH1_01T28237
FG3G15630	FGSG_05742	FGRRES_05742	FGRAMPH1_01T18653
FG3G10750	FGSG_12736	FGRRES_12736	FGRAMPH1_01T17875
FG3G16010	FGSG_05768	FGRRES_16541	FGRAMPH1_01T18717
FG1G17590	FGSG_01165	FGRRES_01165_M	FGRAMPH1_01T02891
FG3G09640	FGSG_05345	FGRRES_05345	FGRAMPH1_01T17683
FG3G04090	FGSG_12663	FGRRES_16447	FGRAMPH1_01T16805
FG3G04080	FGSG_12662	FGRRES_16447	
FG3G12690	FGSG_05549	FGRRES_16497	FGRAMPH1_01T18183
FG4G10420	FGSG_07081	FGRRES_07081	FGRAMPH1_01T23915
FG1G25270	FGSG_01649	FGRRES_01649	FGRAMPH1_01T04023
FG2G12720	FGSG_08782	FGRRES_08782_M	FGRAMPH1_01T10807
FG2G33240	FGSG_12326	FGRRES_16163	FGRAMPH1_01T14351
FG2G08910	FGSG_13338,FGSG_13339	FGRRES_17012	FGRAMPH1_01T10275
FG2G07600	FGSG_13354,FGSG_13355	FGRRES_17026	FGRAMPH1_01T10087
FG1G02140	FGSG_00151	FGRRES_00151	FGRAMPH1_01T00409
FG4G27760	FGSG_09569	FGRRES_09569	FGRAMPH1_01T26771,FGRAMPH1_01T26773
FG3G31830		FGRRES_17470	FGRAMPH1_01T21267
FG1G30510	FGSG_02006	FGRRES_15920	FGRAMPH1_01T04845
FG3G26160	FGSG_10728	FGRRES_10728	FGRAMPH1_01T20317
FG1G07770	FGSG_00521	FGRRES_00521	FGRAMPH1_01T01329
FG1G15000	FGSG_11870	FGRRES_11870	FGRAMPH1_01T02457
FG4G30630	FGSG_09387	FGRRES_17198	FGRAMPH1_01T27213
FG4G36310	FGSG_08999	FGRRES_08999	FGRAMPH1_01T28153
FG4G27470	FGSG_13611	FGRRES_13611_M	FGRAMPH1_01T26729,FGRAMPH1_01T26731
FG1G48860	FGSG_10314,FGSG_10315	FGRRES_10314	FGRAMPH1_01T07797,FGRAMPH1_01T07799
FG2G13660	FGSG_08833	FGRRES_08833	FGRAMPH1_01T10943
FG1G05860	FGSG_00394	FGRRES_00394	FGRAMPH1_01T01031
FG3G16310	FGSG_05785	FGRRES_05785	FGRAMPH1_01T18757
FG3G18310	FGSG_12842	FGRRES_12842	FGRAMPH1_01T19081
FG3G18300	FGSG_12841	FGRRES_12841	FGRAMPH1_01T19079
FG1G23730	FGSG_01559	FGRRES_01559	FGRAMPH1_01T03801
FG4G24430	FGSG_09789	FGRRES_17272	FGRAMPH1_01T26271
FG1G13710	FGSG_00889	FGRRES_00889	FGRAMPH1_01T02239
FG1G38420	FGSG_02582	FGRRES_15149	FGRAMPH1_01T06187,FGRAMPH1_01T06189
FG4G20000	FGSG_07731	FGRRES_07731_M	FGRAMPH1_01T25515
FG2G10290	FGSG_08648	FGRRES_08648	FGRAMPH1_01T10479
FG1G41110	FGSG_02749	FGRRES_02749_M	FGRAMPH1_01T06603
FG2G00010	FGSG_14031	FGRRES_14031_M	FGRAMPH1_01T08781
FG3G04700	FGSG_05025	FGRRES_16449	FGRAMPH1_01T16909
FG4G33560	FGSG_09199	FGRRES_09199	FGRAMPH1_01T27683
FG3G12820	FGSG_12755,FGSG_12756	FGRRES_16500	FGRAMPH1_01T18207
FG3G13040	FGSG_05577	FGRRES_05577	FGRAMPH1_01T18247
FG1G23800	FGSG_01563	FGRRES_01563	FGRAMPH1_01T03809
FG1G02520	FGSG_11696	FGRRES_11696_M	FGRAMPH1_01T00469
FG3G12540	FGSG_05536	FGRRES_05536	FGRAMPH1_01T18153
FG2G37210	FGSG_04321	FGRRES_04321	FGRAMPH1_01T15003
FG1G50060	FGSG_10393	FGRRES_10393	FGRAMPH1_01T07991
FG3G22830	FGSG_06217	FGRRES_06217	FGRAMPH1_01T19785
FG1G51430	FGSG_10489	FGRRES_10489	FGRAMPH1_01T08229
FG4G35950	FGSG_13500	FGRRES_13500_1_M	FGRAMPH1_01T28099
FG3G27620	FGSG_13913,FGSG_13914	FGRRES_17513	FGRAMPH1_01T20537
FG3G16240	FGSG_05782	FGRRES_05782	FGRAMPH1_01T18749
FG1G05280	FGSG_00354	FGRRES_00354	FGRAMPH1_01T00935
FG2G32320	FGSG_03996	FGRRES_03996	FGRAMPH1_01T14215
FG1G38270	FGSG_02572	FGRRES_02572	FGRAMPH1_01T06163
FG1G14180	FGSG_00922	FGRRES_15798	FGRAMPH1_01T02323
FG3G13030	FGSG_05576	FGRRES_16502_M	FGRAMPH1_01T18245
FG4G02750	FGSG_06610	FGRRES_06610	FGRAMPH1_01T22711
