Orthogroup	GCA_900044135.1_GZPH1RResV1_protein	GCF_000182925.2_NC12_protein	GCF_000213175.1_v2.0_protein
OG0000000	CEF73928.1, CEF77723.1, CEF78637.1, CEF78713.1, CEF84722.1, CEF85566.1, CEF85751.1, CEF86099.1, CEF86801.1, CEF88606.1, SCB64281.1, SCB64658.1, SCB65293.1, SCB65762.1	XP_011395209.1, XP_011395210.1, XP_956770.1, XP_957118.2, XP_957775.1, XP_957841.1, XP_959016.1, XP_959353.3, XP_959354.2, XP_959355.2, XP_959357.3, XP_959358.1, XP_959365.1, XP_960091.1, XP_960101.1, XP_960102.1, XP_962936.1	XP_009849020.1, XP_009849021.1, XP_009849022.1, XP_009849024.1, XP_009849031.1, XP_009849032.1, XP_009849037.1, XP_009850280.1, XP_009850496.1, XP_009850638.1, XP_009851077.1, XP_009851221.1, XP_009851279.1, XP_009853707.1, XP_009853708.1, XP_009853719.1, XP_009853720.1
OG0000001	CEF71849.1, CEF71973.1, CEF74437.1, CEF74464.1, CEF74698.1, CEF76139.1, CEF77510.1, CEF77755.1, CEF77763.1, CEF77837.1, CEF77970.1, CEF77977.1, CEF78103.1, CEF78196.1, CEF78238.1, CEF78329.1, CEF78579.1, CEF78811.1, CEF82783.1, CEF83025.1, CEF83902.1, CEF83909.1, CEF85462.1, CEF85970.1, CEF86389.1, CEF87226.1, CEF87751.1, CEF88402.1, CEF88783.1, CEF88793.1, SCB65037.1, SCB65590.1, SCB65706.1, SCB65796.1, SCB65803.1, SCB65871.1, SCB65874.1, SCB65994.1	XP_961504.3	XP_009847353.1
OG0000002			XP_009847040.1, XP_009847116.1, XP_009847148.1, XP_009847172.1, XP_009847197.1, XP_009848764.1, XP_009848810.1, XP_009848845.1, XP_009850277.1, XP_009850329.1, XP_009851636.1, XP_009852747.1, XP_009852774.1, XP_009852798.1, XP_009852804.1, XP_009852818.1, XP_009853838.1, XP_009853844.1, XP_009853905.1, XP_009854925.1, XP_009854926.1, XP_009854944.1, XP_009854956.1, XP_009855190.1, XP_009855853.1, XP_009856055.1, XP_009856085.1, XP_009856264.1, XP_009856478.1, XP_009856638.1, XP_009857011.1
OG0000003	CEF71946.1, CEF73015.1, CEF73995.1, CEF74402.1, CEF74655.1, CEF76461.1, CEF76743.1, CEF76928.1, CEF77716.1, CEF78211.1, CEF78320.1, CEF78324.1, CEF78560.1, CEF79562.1, CEF84523.1, CEF84866.1, CEF85044.1, CEF86806.1, CEF87335.1, CEF87600.1, CEF87687.1, SCB64414.1, SCB64633.1, SCB65010.1, SCB65040.1, SCB65824.1	XP_956434.2	XP_009854772.1
OG0000004	CEF71962.1, CEF74013.1, CEF74023.1, CEF74208.1, CEF74377.1, CEF76504.1, CEF77524.1, CEF77721.1, CEF77824.1, CEF77943.1, CEF78418.1, CEF78467.1, CEF78670.1, CEF79528.1, CEF79807.1, CEF82868.1, CEF83008.1, CEF84868.1, CEF86276.1, CEF86480.1, CEF88186.1, CEF88642.1, SCB64162.1, SCB65194.1	XP_965585.2	XP_009856930.1
OG0000005	CEF71980.1, CEF72105.1, CEF74741.1, CEF76061.1, CEF76273.1, CEF76398.1, CEF77576.1, CEF77587.1, CEF77822.1, CEF77937.1, CEF78247.1, CEF78755.1, CEF78756.1, CEF79436.1, CEF79529.1, CEF79679.1, CEF79796.1, CEF83534.1, CEF86128.1, CEF87016.1, CEF87395.1, CEF88782.1, SCB63988.1, SCB64841.1, SCB64852.1, SCB66006.1		
OG0000006	CEF84400.1, CEF87035.1	XP_001728563.1, XP_011393544.1, XP_011393658.1, XP_011394444.1, XP_011394775.1, XP_958309.2, XP_958461.1, XP_958571.1, XP_960369.1, XP_962976.2	XP_009847500.1, XP_009848470.1, XP_009848748.1, XP_009850153.1, XP_009850639.1, XP_009852547.1, XP_009852566.1, XP_009853733.1, XP_009854050.1, XP_009854647.1, XP_009854977.1
OG0000007	CEF72783.1, CEF72784.1, CEF74619.1, CEF75824.1, CEF76094.1, CEF77578.1, CEF78078.1, CEF78266.1, CEF84782.1, CEF85361.1, SCB64270.1, SCB64657.1, SCB64666.1, SCB65546.1, SCB65610.1	XP_959132.3, XP_960164.2, XP_960234.3, XP_961739.1	XP_009849998.1, XP_009854013.1, XP_009854020.1, XP_009854023.1
OG0000008	CEF71963.1, CEF74209.1, CEF74467.1, CEF74536.1, CEF74546.1, CEF74554.1, CEF74731.1, CEF76366.1, CEF76503.1, CEF76664.1, CEF77825.1, CEF83933.1, CEF85995.1, CEF86681.1, CEF87614.1, CEF88378.1, SCB64305.1, SCB64310.1, SCB65072.1, SCB65817.1, SCB65996.1	XP_965788.2	XP_009857211.1
OG0000009	CEF71917.1, CEF71965.1, CEF71986.1, CEF74260.1, CEF74637.1, CEF76252.1, CEF76307.1, CEF77648.1, CEF78338.1, CEF78611.1, CEF78645.1, CEF79489.1, CEF82886.1, CEF82915.1, CEF83536.1, CEF84379.1, CEF85232.1, CEF85380.1, SCB64317.1, SCB65026.1, SCB65523.1	XP_962361.1	XP_009849255.1
