Transcript stable ID,Schizosaccharomyces pombe gene stable ID,Saccharomyces cerevisiae gene stable ID,Saccharomyces cerevisiae homology type,Schizosaccharomyces pombe homology type
FGRAMPH1_01T00461,SPOM_SPAC23H3.07C,YPR166C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00463,SPOM_SPBC146.05C,YNL245C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00465,SPOM_SPAC23C4.08,YIL118W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00511,SPOM_SPBC32F12.05C,YJR050W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00513,SPOM_SPCC338.15,YEL002C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00701,SPOM_SPAC25H1.07,YCL045C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00709,SPOM_SPAC13G7.08C,YNL182C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00719,SPOM_SPAC1486.06,YOR209C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00747,SPOM_SPCC1235.02,YGR286C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00755,SPOM_SPAC1952.07,YOR368W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00763,SPOM_SPAC630.12,YDR182W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00779,SPOM_SPBC3E7.01,YFR019W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00781,SPOM_SPAC1B3.07C,YPL065W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00785,SPOM_SPAC1142.04,YOR206W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00793,SPOM_SPBC1677.03C,YER086W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00803,SPOM_SPCC1840.06,YDR298C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00807,SPOM_SPAC17A5.02C,YKL149C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00809,SPOM_SPBC1861.07,YPL046C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00811,SPOM_SPAC16A10.04,YKR055W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00813,SPOM_SPBC3B9.19,YOR232W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00815,SPOM_SPAC23G3.11,YDL097C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00819,SPOM_SPBC1861.03,YEL053C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00845,SPOM_SPAC13D6.03C,YML014W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00853,SPOM_SPBC1271.04C,YHR068W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00861,SPOM_SPBC23E6.07C,YOR217W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00863,SPOM_SPBC1105.03C,YBL038W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00865,SPOM_SPBC83.14C,YBR087W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00875,SPOM_SPCC1235.08C,YOL107W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00885,SPOM_SPAC3H8.06,YKL004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00895,SPOM_SPCC830.03,YLL035W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00919,SPOM_SPBC3B8.03,YNR050C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00925,SPOM_SPAC6F12.17,YMR061W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00927,SPOM_SPCC663.05C,YJL115W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00931,SPOM_SPBC725.11C,YGL237C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00951,SPOM_SPCC1620.01C,YBL026W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00953,SPOM_SPAC22A12.01C,YMR137C,ortholog_one2one,ortholog_one2one
