YL1	BIv3	RR1.27	RR1.41
FG1G02630	FGSG_11698	FGRRES_11698	FGRAMPH1_01T00485
FG1G02890	FGSG_00193	FGRRES_00193	FGRAMPH1_01T00523
FG1G04750	FGSG_00322	FGRRES_00322_M	FGRAMPH1_01T00851
FG1G04970	FGSG_00337	FGRRES_00337	FGRAMPH1_01T00883
FG1G05470	FGSG_00367	FGRRES_00367	FGRAMPH1_01T00969
FG1G05710	FGSG_00385	FGRRES_00385	FGRAMPH1_01T01009
FG1G05860	FGSG_00394	FGRRES_00394	FGRAMPH1_01T01031
FG1G06440	FGSG_00431	FGRRES_00431_M	FGRAMPH1_01T01119
FG1G06580	FGSG_00438	FGRRES_00438	FGRAMPH1_01T01139
FG1G07380	FGSG_00493	FGRRES_00493	FGRAMPH1_01T01263
FG1G07620	FGSG_00514	FGRRES_00514	FGRAMPH1_01T01309
FG1G08200	FGSG_00548	FGRRES_17603_M	FGRAMPH1_01T01399
FG1G08270	FGSG_00553	FGRRES_00553	FGRAMPH1_01T01411
FG1G08420	FGSG_00565	FGRRES_00565	FGRAMPH1_01T01439
FG1G08470	FGSG_00570	FGRRES_00570	FGRAMPH1_01T01449
FG1G08830	FGSG_00592	FGRRES_00592	FGRAMPH1_01T01507
FG1G09110	FGSG_00612	FGRRES_00612	FGRAMPH1_01T01555
FG1G09210	FGSG_00619	FGRRES_00619	FGRAMPH1_01T01571
FG1G10360	FGSG_00696	FGRRES_00696	FGRAMPH1_01T01753
FG1G10650	FGSG_00703	FGRRES_00703	FGRAMPH1_01T01779
FG1G10880	FGSG_00719	FGRRES_00719	FGRAMPH1_01T01821
FG1G11380	FGSG_00746	FGRRES_00746	FGRAMPH1_01T01885
FG1G11450	FGSG_00752	FGRRES_00752	FGRAMPH1_01T01897
FG1G12530	FGSG_00822	FGRRES_00822	FGRAMPH1_01T02061
FG1G12660	FGSG_00831	FGRRES_00831	FGRAMPH1_01T02081
FG1G13840	FGSG_00900	FGRRES_00900	FGRAMPH1_01T02265
FG1G14600	FGSG_00946	FGRRES_00946	FGRAMPH1_01T02385
FG1G15280	FGSG_00999	FGRRES_00999	FGRAMPH1_01T02505
FG1G16890	FGSG_01112	FGRRES_01112	FGRAMPH1_01T02773
FG1G17130	FGSG_01133	FGRRES_01133	FGRAMPH1_01T02817
FG1G18400	FGSG_01211	FGRRES_01211	FGRAMPH1_01T02995
FG1G18530	FGSG_01220	FGRRES_01220	FGRAMPH1_01T03017
FG1G19190	FGSG_01261	FGRRES_20035	FGRAMPH1_01T03121,FGRAMPH1_01T03123
FG1G19210		FGRRES_20036	FGRAMPH1_01T03125
FG1G19520	FGSG_01280	FGRRES_01280	FGRAMPH1_01T03171
FG1G19630	FGSG_01288	FGRRES_15841	FGRAMPH1_01T03189
FG1G23050	FGSG_01506	FGRRES_01506_M	FGRAMPH1_01T03687
FG1G23730	FGSG_01559	FGRRES_01559	FGRAMPH1_01T03801
FG1G24990	FGSG_01633	FGRRES_01633	FGRAMPH1_01T03985
FG1G29530	FGSG_12033	FGRRES_12033	FGRAMPH1_01T04697
FG1G29940	FGSG_12046	FGRRES_15915	FGRAMPH1_01T04763
FG1G30450	FGSG_02004	FGRRES_02004	FGRAMPH1_01T04837
FG1G30550	FGSG_02010	FGRRES_02010	FGRAMPH1_01T04853
FG1G30560	FGSG_02011	FGRRES_02011	FGRAMPH1_01T04855
FG1G30840	FGSG_02027	FGRRES_02027	FGRAMPH1_01T04897
FG1G31620	FGSG_02082	FGRRES_02082	FGRAMPH1_01T05023
FG1G31770		FGRRES_02091	FGRAMPH1_01T05045
FG1G36870	FGSG_02481	FGRRES_02481	FGRAMPH1_01T05953
FG1G37500	FGSG_02519	FGRRES_02519	FGRAMPH1_01T06045
FG1G37750	FGSG_02532	FGRRES_02532	FGRAMPH1_01T06077
FG1G38080	FGSG_02559	FGRRES_16015	FGRAMPH1_01T06137
