Orthogroup	GCF_000002945.2_ASM294v3_protein	GCF_000146045.2_R64_protein	GCF_000213175.1_v2.0_protein
OG0000000			XP_009847143.1, XP_009847150.1, XP_009847159.1, XP_009847500.1, XP_009847657.1, XP_009848470.1, XP_009848748.1, XP_009849152.1, XP_009849221.1, XP_009849589.1, XP_009849832.1, XP_009849852.1, XP_009850153.1, XP_009850293.1, XP_009850525.1, XP_009850639.1, XP_009851377.1, XP_009851475.1, XP_009851537.1, XP_009851548.1, XP_009851726.1, XP_009851734.1, XP_009851737.1, XP_009851768.1, XP_009851807.1, XP_009851812.1, XP_009851828.1, XP_009852004.1, XP_009852293.1, XP_009852299.1, XP_009852461.1, XP_009852483.1, XP_009852547.1, XP_009852566.1, XP_009852579.1, XP_009852589.1, XP_009852602.1, XP_009852603.1, XP_009852624.1, XP_009852697.1, XP_009852717.1, XP_009852820.1, XP_009852869.1, XP_009852935.1, XP_009853718.1, XP_009853733.1, XP_009853781.1, XP_009853943.1, XP_009854006.1, XP_009854050.1, XP_009854064.1, XP_009854647.1, XP_009854723.1, XP_009854932.1, XP_009854977.1, XP_009855067.1, XP_009855123.1, XP_009855157.1, XP_009857025.1, XP_009857286.1, XP_009857298.1, XP_009857359.1
OG0000001		NP_001268465.1, NP_001291944.1, NP_009406.1, NP_009450.1, NP_009451.1, NP_009549.1, NP_009567.1, NP_009909.2, NP_009910.2, NP_011064.3, NP_011087.3, NP_012086.1, NP_012421.2, NP_012422.2, NP_012560.1, NP_012562.1, NP_013136.1, NP_013668.1, NP_013672.1, NP_013759.1, NP_013765.1, NP_058133.1, NP_058134.1, NP_058138.3, NP_058139.1, NP_058140.1, NP_058142.3, NP_058143.1, NP_058146.3, NP_058147.3, NP_058148.1, NP_058150.1, NP_058152.1, NP_058157.1, NP_058158.1, NP_058160.1, NP_058163.1, NP_058164.1, NP_058165.3, NP_058169.1, NP_058171.1, NP_058174.3, NP_058175.1, NP_058178.1, NP_058181.1, NP_058183.1, NP_058185.3, NP_058186.1, NP_058189.1, NP_058191.1, NP_058193.1, NP_058195.1, NP_116653.1, NP_620387.1, NP_620389.3, NP_620390.1	
OG0000002	NP_593986.1		XP_009847441.1, XP_009848177.1, XP_009848539.1, XP_009848622.1, XP_009848770.1, XP_009848822.1, XP_009848903.1, XP_009848908.1, XP_009848981.1, XP_009849058.1, XP_009849151.1, XP_009849548.1, XP_009849702.1, XP_009849826.1, XP_009850322.1, XP_009850848.1, XP_009850980.1, XP_009851267.1, XP_009851370.1, XP_009851379.1, XP_009851521.1, XP_009851630.1, XP_009851675.1, XP_009851721.1, XP_009852702.1, XP_009852760.1, XP_009853428.1, XP_009853440.1, XP_009853867.1, XP_009853901.1, XP_009853913.1, XP_009853930.1, XP_009853935.1, XP_009853945.1, XP_009854175.1, XP_009854420.1, XP_009854448.1, XP_009854634.1, XP_009854649.1, XP_009854677.1, XP_009854730.1, XP_009854773.1, XP_009854830.1, XP_009855570.1, XP_009855628.1, XP_009855709.1, XP_009856849.1, XP_009856863.1, XP_009856944.1, XP_009857012.1
OG0000003	NP_593320.1, NP_593858.2	NP_009857.1, NP_010034.1, NP_010087.1, NP_010143.1, NP_010785.1, NP_010825.3, NP_012694.1, NP_014538.2	XP_009847099.1, XP_009847448.1, XP_009848673.1, XP_009848775.1, XP_009849078.1, XP_009849167.1, XP_009849437.1, XP_009849460.1, XP_009850544.1, XP_009851582.1, XP_009851923.1, XP_009852033.1, XP_009852190.1, XP_009852322.1, XP_009852419.1, XP_009852785.1, XP_009852865.1, XP_009853126.1, XP_009853172.1, XP_009853210.1, XP_009853305.1, XP_009853567.1, XP_009853596.1, XP_009853728.1, XP_009853873.1, XP_009853926.1, XP_009854202.1, XP_009854228.1, XP_009854239.1, XP_009854828.1, XP_009855049.1, XP_009855673.1, XP_009855683.1, XP_009855693.1, XP_009855868.1, XP_009856705.1, XP_009856864.1
OG0000004	NP_593788.2	NP_010690.1, NP_013728.1	XP_009847111.1, XP_009847628.1, XP_009848147.1, XP_009848826.1, XP_009848873.1, XP_009849170.1, XP_009849483.1, XP_009850096.1, XP_009850185.1, XP_009850342.1, XP_009850422.1, XP_009851133.1, XP_009851570.1, XP_009851613.1, XP_009852402.1, XP_009852881.1, XP_009852990.1, XP_009853068.1, XP_009853069.1, XP_009853093.1, XP_009853573.1, XP_009853724.1, XP_009853725.1, XP_009853753.1, XP_009853842.1, XP_009853909.1, XP_009853958.1, XP_009854338.1, XP_009854359.1, XP_009854636.1, XP_009854820.1, XP_009854823.1, XP_009854994.1, XP_009855047.1, XP_009855188.1, XP_009855363.1, XP_009855512.1, XP_009855594.1, XP_009855867.1, XP_009856117.1, XP_009856834.1
OG0000005		NP_011842.1	XP_009847222.1, XP_009847252.1, XP_009847397.1, XP_009848244.1, XP_009848572.1, XP_009848630.1, XP_009848670.1, XP_009848777.1, XP_009848916.1, XP_009848969.1, XP_009849052.1, XP_009849059.1, XP_009849182.1, XP_009849482.1, XP_009850070.1, XP_009850181.1, XP_009850183.1, XP_009851024.1, XP_009851350.1, XP_009851597.1, XP_009851608.1, XP_009851765.1, XP_009851848.1, XP_009852828.1, XP_009852836.1, XP_009852915.1, XP_009852986.1, XP_009853124.1, XP_009853609.1, XP_009853705.1, XP_009853729.1, XP_009853773.1, XP_009853912.1, XP_009854732.1, XP_009854772.1, XP_009855562.1, XP_009855624.1, XP_009855719.1, XP_009856005.1, XP_009856656.1, XP_009856930.1, XP_009857379.1
OG0000006		NP_009332.1, NP_009412.1, NP_009623.1, NP_009860.3, NP_010029.1, NP_010831.3, NP_010865.1, NP_010927.1, NP_011253.1, NP_011810.1, NP_011817.1, NP_012093.1, NP_012254.1, NP_012307.1, NP_012312.1, NP_012684.4, NP_012685.1, NP_012698.1, NP_012826.1, NP_012827.1, NP_013036.1, NP_013075.1, NP_013138.1, NP_013566.1, NP_014058.1, NP_014474.3, NP_014481.1, NP_014652.1, NP_014653.1, NP_015039.3, NP_015041.1, NP_076873.1, NP_116633.1	
OG0000007		NP_009437.1, NP_009438.1, NP_009439.1, NP_010834.1, NP_010835.1, NP_010836.1, NP_010837.1, NP_010839.1, NP_011116.3, NP_011117.3, NP_011812.3, NP_011813.1, NP_011814.1, NP_012090.1, NP_012091.3, NP_012092.1, NP_012311.1, NP_013033.1, NP_013034.1, NP_013567.3, NP_013569.1, NP_013571.3, NP_013572.3, NP_013573.1, NP_014060.1, NP_015040.1, NP_015528.1, NP_015529.1, NP_015530.1, NP_061495.4, NP_116589.1, NP_116590.1, NP_116591.1	
OG0000008		NP_009407.1, NP_009550.1, NP_009568.1, NP_010455.1, NP_012561.3, NP_012563.1, NP_013673.1, NP_013760.1, NP_013766.1, NP_036195.3, NP_058141.1, NP_058149.1, NP_058151.1, NP_058153.3, NP_058155.1, NP_058156.1, NP_058159.1, NP_058161.1, NP_058166.1, NP_058170.1, NP_058172.1, NP_058173.1, NP_058176.1, NP_058179.1, NP_058180.1, NP_058182.1, NP_058184.3, NP_058190.1, NP_058192.1, NP_058194.1, NP_058196.1, NP_620388.3	
OG0000009			XP_009847040.1, XP_009847116.1, XP_009847148.1, XP_009847172.1, XP_009847197.1, XP_009848764.1, XP_009848810.1, XP_009848845.1, XP_009850277.1, XP_009850329.1, XP_009851636.1, XP_009852747.1, XP_009852774.1, XP_009852798.1, XP_009852804.1, XP_009852818.1, XP_009853838.1, XP_009853844.1, XP_009853905.1, XP_009854925.1, XP_009854926.1, XP_009854944.1, XP_009854956.1, XP_009855190.1, XP_009855853.1, XP_009856055.1, XP_009856085.1, XP_009856264.1, XP_009856478.1, XP_009856638.1, XP_009857011.1
OG0000010			XP_009847443.1, XP_009847728.1, XP_009848107.1, XP_009848640.1, XP_009849020.1, XP_009849021.1, XP_009849022.1, XP_009849024.1, XP_009849031.1, XP_009849032.1, XP_009849037.1, XP_009849657.1, XP_009850128.1, XP_009850240.1, XP_009850280.1, XP_009850496.1, XP_009850638.1, XP_009851077.1, XP_009851221.1, XP_009851279.1, XP_009853707.1, XP_009853708.1, XP_009853719.1, XP_009853720.1, XP_009853933.1, XP_009853952.1, XP_009854321.1, XP_009854676.1, XP_009856637.1, XP_009857003.1, XP_009857210.1
OG0000011	NP_001342952.1, NP_588035.1	NP_010428.3, NP_011255.1, NP_012249.1, NP_012305.3, NP_013221.1, NP_013222.1, NP_015171.1, NP_076890.1	XP_009847609.1, XP_009849072.1, XP_009850358.1, XP_009851028.1, XP_009851112.1, XP_009851357.1, XP_009851683.1, XP_009851740.1, XP_009851806.1, XP_009851911.1, XP_009853490.1, XP_009853560.1, XP_009853988.1, XP_009855334.1, XP_009855873.1, XP_009856288.1, XP_009856979.1
OG0000012		NP_011558.1, NP_011952.1	XP_009848333.1, XP_009848467.1, XP_009848476.1, XP_009848478.1, XP_009848522.1, XP_009850179.1, XP_009850425.1, XP_009850648.1, XP_009850690.1, XP_009850886.1, XP_009851059.1, XP_009851113.1, XP_009851635.1, XP_009851752.1, XP_009853794.1, XP_009854803.1, XP_009854805.1, XP_009854807.1, XP_009855555.1, XP_009856314.1, XP_009856436.1, XP_009857006.1
OG0000013		NP_009413.2, NP_009414.1, NP_009415.1, NP_009416.1, NP_009418.1, NP_009419.1, NP_009861.1, NP_009933.1, NP_010033.1, NP_011251.1, NP_011462.1, NP_011464.1, NP_011811.1, NP_011815.1, NP_011819.1, NP_011820.1, NP_011821.1, NP_012695.3, NP_012703.1, NP_013574.1, NP_014063.1, NP_014473.1, NP_116593.1	
OG0000014	NP_595065.1, NP_595271.1	NP_011355.1, NP_012702.1, NP_013049.1, NP_013148.1, NP_013315.1, NP_014458.1, NP_014489.2, NP_015026.1, NP_015029.1	XP_009850811.1, XP_009851384.1, XP_009853473.1, XP_009853485.1, XP_009854563.1, XP_009855272.1, XP_009855373.1, XP_009855386.1, XP_009855702.1, XP_009855748.1
OG0000015		NP_014650.1	XP_009847677.1, XP_009847917.1, XP_009848170.1, XP_009848374.1, XP_009848624.1, XP_009849484.1, XP_009850826.1, XP_009851082.1, XP_009851622.1, XP_009852704.1, XP_009852714.1, XP_009852734.1, XP_009853005.1, XP_009853810.1, XP_009853889.1, XP_009854667.1, XP_009855332.1, XP_009855559.1, XP_009855995.1, XP_009857313.1
OG0000016			XP_009847179.1, XP_009848736.1, XP_009848751.1, XP_009848767.1, XP_009848787.1, XP_009848791.1, XP_009848801.1, XP_009848842.1, XP_009850230.1, XP_009850265.1, XP_009851554.1, XP_009851594.1, XP_009851621.1, XP_009851645.1, XP_009851669.1, XP_009852771.1, XP_009854869.1, XP_009855354.1, XP_009855716.1, XP_009856398.1
OG0000017	NP_001343059.1, NP_001343062.1, NP_001417971.1, NP_001417972.1, NP_001417977.1, NP_001417978.1, NP_001417980.1, NP_001417981.1, NP_001417982.1, NP_587750.1, NP_587776.4, NP_587844.1, NP_587893.1, NP_588172.1, NP_588307.2, NP_588407.1, NP_588408.1, NP_588423.1, NP_588460.1		
OG0000018		NP_010659.1	XP_009848803.1, XP_009848899.1, XP_009849169.1, XP_009849563.1, XP_009850055.1, XP_009850057.1, XP_009851618.1, XP_009852710.1, XP_009852786.1, XP_009853029.1, XP_009853158.1, XP_009853310.1, XP_009854950.1, XP_009855083.1, XP_009855085.1, XP_009856244.1, XP_009857034.1
OG0000019	NP_593464.1	NP_010182.1, NP_014626.1, NP_116669.1	XP_009850254.1, XP_009850255.1, XP_009850288.1, XP_009850585.1, XP_009850647.1, XP_009851779.1, XP_009853479.1, XP_009854190.1, XP_009855670.1, XP_009856110.1, XP_009856529.1, XP_009856906.1, XP_009857233.1
OG0000020	NP_588520.1	NP_009799.3, NP_010111.1, NP_010317.3, NP_013610.1	XP_009847799.1, XP_009848695.1, XP_009848802.1, XP_009849126.1, XP_009849349.1, XP_009850959.1, XP_009852379.1, XP_009852688.1, XP_009853387.1, XP_009853457.1, XP_009853653.1, XP_009855933.1
OG0000021	NP_596009.1, NP_596093.1	NP_009852.3	XP_009847056.1, XP_009847269.1, XP_009848138.1, XP_009848255.1, XP_009848605.1, XP_009849137.1, XP_009853164.1, XP_009853293.1, XP_009853738.1, XP_009854949.1, XP_009855371.1, XP_009855730.1, XP_009855796.1, XP_009856632.1
OG0000022	NP_001018276.1, NP_001018800.2, NP_001417963.1, NP_001417984.1, NP_587955.1, NP_593347.1, NP_593385.2, NP_593984.1, NP_594156.1, NP_594409.1, NP_594897.1, NP_594898.2, NP_596839.1	NP_011624.1, NP_012184.1, NP_058162.3	XP_009850224.1
OG0000023	NP_595782.1	NP_012046.4	XP_009848286.1, XP_009848794.1, XP_009849836.1, XP_009850478.1, XP_009850510.1, XP_009851795.1, XP_009851797.1, XP_009852749.1, XP_009852901.1, XP_009853082.1, XP_009853764.1, XP_009855654.1, XP_009855832.1, XP_009856918.1, XP_009857065.1
OG0000024	NP_587932.3, NP_593995.1	NP_009937.2, NP_010294.1, NP_010694.1, NP_014468.3, NP_014796.3, NP_014973.1	XP_009848598.1, XP_009853037.1, XP_009854233.1, XP_009854336.1, XP_009854426.1, XP_009854860.1, XP_009854990.1, XP_009856747.1
OG0000025		NP_010036.1, NP_010629.3, NP_010630.1, NP_010632.1, NP_010845.1, NP_011960.2, NP_011962.1, NP_011964.1, NP_012316.1, NP_012321.1, NP_012692.3, NP_013182.1, NP_013724.1, NP_014470.1, NP_014486.1, NP_116644.1	
OG0000026			XP_009847180.1, XP_009847470.1, XP_009850058.1, XP_009851439.1, XP_009851464.1, XP_009851714.1, XP_009851841.1, XP_009852569.1, XP_009853562.1, XP_009854030.1, XP_009854961.1, XP_009856655.1, XP_009856922.1, XP_009856939.1, XP_009857287.1, XP_009857288.1
OG0000027			XP_009847251.1, XP_009847330.1, XP_009848118.1, XP_009848874.1, XP_009848941.1, XP_009849094.1, XP_009849984.1, XP_009850236.1, XP_009850403.1, XP_009850404.1, XP_009851387.1, XP_009851794.1, XP_009852880.1, XP_009854364.1, XP_009855463.1, XP_009856954.1
OG0000028			XP_009848704.1, XP_009848924.1, XP_009848953.1, XP_009848954.1, XP_009848955.1, XP_009848956.1, XP_009848957.1, XP_009848958.1, XP_009848959.1, XP_009848961.1, XP_009848962.1, XP_009848963.1, XP_009848964.1, XP_009848965.1, XP_009848967.1, XP_009848970.1
