Transcript stable ID	Schizosaccharomyces pombe gene stable ID	Saccharomyces cerevisiae gene stable ID	Saccharomyces cerevisiae homology type	Schizosaccharomyces pombe homology type
FGRAMPH1_01T00001				
FGRAMPH1_01T00003				
FGRAMPH1_01T00005				
FGRAMPH1_01T00007				
FGRAMPH1_01T00009				
FGRAMPH1_01T00011				
FGRAMPH1_01T00013				
FGRAMPH1_01T00015				
FGRAMPH1_01T00017				
FGRAMPH1_01T00019				
FGRAMPH1_01T00021				
FGRAMPH1_01T00023		YER054C	ortholog_many2many	
FGRAMPH1_01T00023		YIL045W	ortholog_many2many	
FGRAMPH1_01T00025	SPAC227.03c	YEL006W	ortholog_many2many	ortholog_one2many
FGRAMPH1_01T00025	SPAC227.03c	YIL006W	ortholog_many2many	ortholog_one2many
FGRAMPH1_01T00027				
FGRAMPH1_01T00029				
FGRAMPH1_01T00031				
FGRAMPH1_01T00033				
FGRAMPH1_01T00035				
FGRAMPH1_01T00037				
FGRAMPH1_01T00039				
FGRAMPH1_01T00041				
FGRAMPH1_01T00043				
FGRAMPH1_01T00045				
FGRAMPH1_01T00047				
FGRAMPH1_01T00049				
FGRAMPH1_01T00051				
FGRAMPH1_01T00053				
FGRAMPH1_01T00055				
FGRAMPH1_01T00057				
FGRAMPH1_01T00059				
FGRAMPH1_01T00061				
FGRAMPH1_01T00063				
FGRAMPH1_01T00065				
FGRAMPH1_01T00067				
FGRAMPH1_01T00069				
FGRAMPH1_01T00071				
FGRAMPH1_01T00073				
FGRAMPH1_01T00075				
FGRAMPH1_01T00077				
FGRAMPH1_01T00079				
FGRAMPH1_01T00081				
FGRAMPH1_01T00083	SPAC24C9.08	YJL172W	ortholog_one2many	ortholog_one2many
FGRAMPH1_01T00085				
FGRAMPH1_01T00087				
FGRAMPH1_01T00089				
FGRAMPH1_01T00091				
FGRAMPH1_01T00093				
FGRAMPH1_01T00095				
FGRAMPH1_01T00097				
FGRAMPH1_01T00099				
FGRAMPH1_01T00101	SPAC2G11.13			ortholog_one2many
FGRAMPH1_01T00103				
FGRAMPH1_01T00105				
FGRAMPH1_01T00107				
FGRAMPH1_01T00109				
FGRAMPH1_01T00111				
FGRAMPH1_01T00113				
FGRAMPH1_01T00115				
FGRAMPH1_01T00117				
FGRAMPH1_01T00119				
FGRAMPH1_01T00121				
FGRAMPH1_01T00123				
FGRAMPH1_01T00125				
FGRAMPH1_01T00127	SPAC4A8.11c	YPL231W	ortholog_one2many	ortholog_one2many
FGRAMPH1_01T00129				
FGRAMPH1_01T00131				
FGRAMPH1_01T00133				
FGRAMPH1_01T00135				
FGRAMPH1_01T00137				
FGRAMPH1_01T00139				
FGRAMPH1_01T00141				
FGRAMPH1_01T00143				
FGRAMPH1_01T00145				
FGRAMPH1_01T00147				
FGRAMPH1_01T00149				
FGRAMPH1_01T00151				
FGRAMPH1_01T00153				
FGRAMPH1_01T00155				
FGRAMPH1_01T00157				
FGRAMPH1_01T00159				
FGRAMPH1_01T00161				
FGRAMPH1_01T00163				
FGRAMPH1_01T00165				
FGRAMPH1_01T00167		YNL331C	ortholog_one2many	
FGRAMPH1_01T00167		YJR155W	ortholog_one2many	
FGRAMPH1_01T00167		YDL243C	ortholog_one2many	
FGRAMPH1_01T00167		YOL165C	ortholog_one2many	
FGRAMPH1_01T00167		YCR107W	ortholog_one2many	
FGRAMPH1_01T00169				
FGRAMPH1_01T00171				
FGRAMPH1_01T00173				
FGRAMPH1_01T00175				
FGRAMPH1_01T00177				
FGRAMPH1_01T00179				
FGRAMPH1_01T00181				
FGRAMPH1_01T00183				
FGRAMPH1_01T00185				
FGRAMPH1_01T00187				
FGRAMPH1_01T00189				
FGRAMPH1_01T00191				
FGRAMPH1_01T00193				
FGRAMPH1_01T00195				
FGRAMPH1_01T00197				
FGRAMPH1_01T00199				
FGRAMPH1_01T00201				
FGRAMPH1_01T00203				
FGRAMPH1_01T00205				
FGRAMPH1_01T00207				
FGRAMPH1_01T00209		YHR179W	ortholog_many2many	
FGRAMPH1_01T00209		YPL171C	ortholog_many2many	
FGRAMPH1_01T00211				
FGRAMPH1_01T00213				
FGRAMPH1_01T00215				
FGRAMPH1_01T00217				
FGRAMPH1_01T00219				
