fg,nc,nt
FGRAMPH1_01T08747,NCU07230,NEUTE1DRAFT_36552
FGRAMPH1_01T16329,NCU08526,NEUTE1DRAFT_82879
FGRAMPH1_01T04923,NCU16597,NEUTE1DRAFT_130168
FGRAMPH1_01T15365,NCU10392,NEUTE1DRAFT_122749
FGRAMPH1_01T13427,NCU04748,NEUTE1DRAFT_87084
FGRAMPH1_01T04995,NCU02238,NEUTE1DRAFT_124089
FGRAMPH1_01T16043,NCU04568,NEUTE1DRAFT_37656
FGRAMPH1_01T16405,NCU06305,NEUTE1DRAFT_116453
FGRAMPH1_01T14121,NCU09654,NEUTE1DRAFT_59215
FGRAMPH1_01T21823,NCU08715,NEUTE1DRAFT_146946
FGRAMPH1_01T14819,NCU07107,NEUTE1DRAFT_103444
FGRAMPH1_01T07507,NCU01148,NEUTE1DRAFT_120040
FGRAMPH1_01T09631,NCU05501,NEUTE1DRAFT_148702
FGRAMPH1_01T10713,NCU02648,NEUTE1DRAFT_105961
FGRAMPH1_01T26719,NCU10761,NEUTE1DRAFT_79507
FGRAMPH1_01T04221,NCU08152,NEUTE1DRAFT_112298
FGRAMPH1_01T20805,NCU02188,NEUTE1DRAFT_67769
FGRAMPH1_01T16951,NCU05627,NEUTE1DRAFT_87389
FGRAMPH1_01T19271,NCU01813,NEUTE1DRAFT_147227
FGRAMPH1_01T12019,NCU06384,NEUTE1DRAFT_99352
FGRAMPH1_01T22337,NCU09358,NEUTE1DRAFT_44249
FGRAMPH1_01T03643,NCU01132,NEUTE1DRAFT_35244
FGRAMPH1_01T16305,NCU05597,NEUTE1DRAFT_103712
FGRAMPH1_01T14777,NCU16721,NEUTE1DRAFT_120617
FGRAMPH1_01T21087,NCU10285,NEUTE1DRAFT_59167
FGRAMPH1_01T04233,NCU08716,NEUTE1DRAFT_43964
FGRAMPH1_01T10873,NCU09103,NEUTE1DRAFT_104586
FGRAMPH1_01T04247,NCU04089,NEUTE1DRAFT_87689
FGRAMPH1_01T21585,NCU09185,NEUTE1DRAFT_145954
FGRAMPH1_01T03605,NCU03332,NEUTE1DRAFT_65756
FGRAMPH1_01T04497,NCU03693,NEUTE1DRAFT_135202
FGRAMPH1_01T16403,NCU09041,NEUTE1DRAFT_117650
FGRAMPH1_01T14381,NCU02097,NEUTE1DRAFT_125315
FGRAMPH1_01T12637,NCU03354,NEUTE1DRAFT_84487
FGRAMPH1_01T04199,NCU07527,NEUTE1DRAFT_42181
FGRAMPH1_01T10731,NCU09640,NEUTE1DRAFT_59180
FGRAMPH1_01T13119,NCU02023,NEUTE1DRAFT_104764
FGRAMPH1_01T17167,NCU09551,NEUTE1DRAFT_57015
FGRAMPH1_01T10297,NCU01095,NEUTE1DRAFT_76640
FGRAMPH1_01T26227,NCU05862,NEUTE1DRAFT_103363
FGRAMPH1_01T21205,NCU02562,NEUTE1DRAFT_133588
FGRAMPH1_01T20557,NCU03402,NEUTE1DRAFT_123368
FGRAMPH1_01T11897,NCU09580,NEUTE1DRAFT_66631
FGRAMPH1_01T15127,NCU06847,NEUTE1DRAFT_84258
FGRAMPH1_01T11503,NCU05580,NEUTE1DRAFT_112801
FGRAMPH1_01T00603,NCU10314,NEUTE1DRAFT_140851
FGRAMPH1_01T20105,NCU06860,NEUTE1DRAFT_66475
FGRAMPH1_01T26493,NCU00754,NEUTE1DRAFT_89835
FGRAMPH1_01T21913,NCU07740,NEUTE1DRAFT_58999
FGRAMPH1_01T25249,NCU08050,NEUTE1DRAFT_132325
FGRAMPH1_01T21221,NCU02925,NEUTE1DRAFT_53374
FGRAMPH1_01T27723,NCU07094,NEUTE1DRAFT_86912
FGRAMPH1_01T09201,NCU00017,NEUTE1DRAFT_129586
FGRAMPH1_01T21607,NCU00721,NEUTE1DRAFT_89767
FGRAMPH1_01T27435,NCU07129,NEUTE1DRAFT_49154
FGRAMPH1_01T14349,NCU04468,NEUTE1DRAFT_79313
FGRAMPH1_01T01559,NCU02783,NEUTE1DRAFT_93228
FGRAMPH1_01T03917,NCU09575,NEUTE1DRAFT_123682
FGRAMPH1_01T23913,NCU02679,NEUTE1DRAFT_91848
FGRAMPH1_01T22009,NCU05045,NEUTE1DRAFT_69836
FGRAMPH1_01T09421,NCU05089,NEUTE1DRAFT_69779
FGRAMPH1_01T21881,NCU09550,NEUTE1DRAFT_143933
FGRAMPH1_01T07095,NCU03863,NEUTE1DRAFT_124847
FGRAMPH1_01T05105,NCU04218,NEUTE1DRAFT_56611
FGRAMPH1_01T21893,NCU00809,NEUTE1DRAFT_89929
FGRAMPH1_01T12167,NCU08114,NEUTE1DRAFT_70125
FGRAMPH1_01T00077,NCU05853,NEUTE1DRAFT_86732
FGRAMPH1_01T18593,NCU07199,NEUTE1DRAFT_106744
FGRAMPH1_01T08325,NCU04531,NEUTE1DRAFT_123777
FGRAMPH1_01T25421,NCU00848,NEUTE1DRAFT_125629
FGRAMPH1_01T21717,NCU07231,NEUTE1DRAFT_143615
FGRAMPH1_01T05741,NCU07053,NEUTE1DRAFT_124368
FGRAMPH1_01T25703,NCU03348,NEUTE1DRAFT_117526
FGRAMPH1_01T02461,NCU03415,NEUTE1DRAFT_65925
FGRAMPH1_01T08381,NCU03776,NEUTE1DRAFT_120193
FGRAMPH1_01T28115,NCU03591,NEUTE1DRAFT_120329
FGRAMPH1_01T26673,NCU06382,NEUTE1DRAFT_40319
FGRAMPH1_01T22597,NCU07276,NEUTE1DRAFT_61313
FGRAMPH1_01T18233,NCU09012,NEUTE1DRAFT_122521
FGRAMPH1_01T22037,NCU07920,NEUTE1DRAFT_78287
FGRAMPH1_01T27637,NCU00526,NEUTE1DRAFT_133868
FGRAMPH1_01T21557,NCU04593,NEUTE1DRAFT_98493
FGRAMPH1_01T08643,NCU06522,NEUTE1DRAFT_144996
FGRAMPH1_01T25819,NCU09278,NEUTE1DRAFT_66336
FGRAMPH1_01T25119,NCU01107,NEUTE1DRAFT_76618
FGRAMPH1_01T08665,NCU05159,NEUTE1DRAFT_49508
FGRAMPH1_01T14417,NCU09663,NEUTE1DRAFT_120607
FGRAMPH1_01T25323,NCU01123,NEUTE1DRAFT_127719
FGRAMPH1_01T00549,NCU06304,NEUTE1DRAFT_60489
FGRAMPH1_01T21025,NCU05919,NEUTE1DRAFT_26171
FGRAMPH1_01T05021,NCU06608,NEUTE1DRAFT_136036
FGRAMPH1_01T22745,NCU00260,NEUTE1DRAFT_63362
FGRAMPH1_01T05527,NCU02476,NEUTE1DRAFT_52182
FGRAMPH1_01T14137,NCU08803,NEUTE1DRAFT_80270
FGRAMPH1_01T20235,NCU00660,NEUTE1DRAFT_93126
FGRAMPH1_01T02909,NCU00973,NEUTE1DRAFT_90262
FGRAMPH1_01T17747,NCU07139,NEUTE1DRAFT_148390
FGRAMPH1_01T24285,NCU00054,NEUTE1DRAFT_41238
FGRAMPH1_01T13085,NCU06936,NEUTE1DRAFT_102615
FGRAMPH1_01T15757,NCU09169,NEUTE1DRAFT_121747
FGRAMPH1_01T25233,NCU09403,NEUTE1DRAFT_85415
FGRAMPH1_01T09623,NCU10009,NEUTE1DRAFT_124630
FGRAMPH1_01T07945,NCU08880,NEUTE1DRAFT_128195
FGRAMPH1_01T25865,NCU12152,NEUTE1DRAFT_149096
FGRAMPH1_01T00521,NCU00673,NEUTE1DRAFT_118570
FGRAMPH1_01T27223,NCU06055,NEUTE1DRAFT_147966
FGRAMPH1_01T26357,NCU05307,NEUTE1DRAFT_145770
FGRAMPH1_01T12337,NCU05829,NEUTE1DRAFT_131552
FGRAMPH1_01T27877,NCU03049,NEUTE1DRAFT_92775
FGRAMPH1_01T16153,NCU08747,NEUTE1DRAFT_110733
FGRAMPH1_01T03723,NCU08384,NEUTE1DRAFT_133088
FGRAMPH1_01T11241,NCU01906,NEUTE1DRAFT_126627
FGRAMPH1_01T25955,NCU04923,NEUTE1DRAFT_116240
FGRAMPH1_01T13635,NCU01233,NEUTE1DRAFT_76366
FGRAMPH1_01T06479,NCU09519,NEUTE1DRAFT_121717
FGRAMPH1_01T08535,NCU05577,NEUTE1DRAFT_68797
FGRAMPH1_01T22687,NCU08755,NEUTE1DRAFT_82952
FGRAMPH1_01T25027,NCU01853,NEUTE1DRAFT_54808
FGRAMPH1_01T00651,NCU09187,NEUTE1DRAFT_41557
FGRAMPH1_01T05825,NCU05863,NEUTE1DRAFT_124269
FGRAMPH1_01T01713,NCU03121,NEUTE1DRAFT_142565
FGRAMPH1_01T22849,NCU06185,NEUTE1DRAFT_116873
FGRAMPH1_01T07367,NCU09099,NEUTE1DRAFT_125228
FGRAMPH1_01T21809,NCU09914,NEUTE1DRAFT_70042
FGRAMPH1_01T21029,NCU00868,NEUTE1DRAFT_90027
FGRAMPH1_01T10533,NCU01968,NEUTE1DRAFT_132645
FGRAMPH1_01T24185,NCU03755,NEUTE1DRAFT_120209
FGRAMPH1_01T04671,NCU08000,NEUTE1DRAFT_145502
FGRAMPH1_01T04801,NCU11382,NEUTE1DRAFT_103253
FGRAMPH1_01T13099,NCU05762,NEUTE1DRAFT_124197
FGRAMPH1_01T23749,NCU03770,NEUTE1DRAFT_144423
FGRAMPH1_01T10205,NCU02032,NEUTE1DRAFT_89374
FGRAMPH1_01T26595,NCU09937,NEUTE1DRAFT_80275
