0	locus_tag
Neute_matA2_126049	NEUTE1DRAFT_126049
Neute_matA2_122517	NEUTE1DRAFT_122517
Neute_matA2_98213	NEUTE1DRAFT_98213
Neute_matA2_50929	NEUTE1DRAFT_50929
Neute_matA2_73314	NEUTE1DRAFT_73314
Neute_matA2_40958	NEUTE1DRAFT_40958
Neute_matA2_91240	NEUTE1DRAFT_91240
Neute_matA2_55298	NEUTE1DRAFT_55298
Neute_matA2_132741	NEUTE1DRAFT_132741
Neute_matA2_104917	NEUTE1DRAFT_104917
Neute_matA2_141767	NEUTE1DRAFT_141767
Neute_matA2_141775	NEUTE1DRAFT_141775
Neute_matA2_53219	NEUTE1DRAFT_53219
Neute_matA2_93415	NEUTE1DRAFT_93415
Neute_matA2_44559	NEUTE1DRAFT_44559
Neute_matA2_102398	NEUTE1DRAFT_102398
Neute_matA2_41199	NEUTE1DRAFT_41199
Neute_matA2_129580	NEUTE1DRAFT_129580
Neute_matA2_122258	NEUTE1DRAFT_122258
Neute_matA2_122528	NEUTE1DRAFT_122528
Neute_matA2_63973	NEUTE1DRAFT_63973
Neute_matA2_99495	NEUTE1DRAFT_99495
Neute_matA2_80101	NEUTE1DRAFT_80101
Neute_matA2_99961	NEUTE1DRAFT_99961
Neute_matA2_50575	NEUTE1DRAFT_50575
Neute_matA2_121569	NEUTE1DRAFT_121569
Neute_matA2_98304	NEUTE1DRAFT_98304
Neute_matA2_128191	NEUTE1DRAFT_128191
Neute_matA2_119625	NEUTE1DRAFT_119625
Neute_matA2_86887	NEUTE1DRAFT_86887
Neute_matA2_104242	NEUTE1DRAFT_104242
Neute_matA2_47093	NEUTE1DRAFT_47093
Neute_matA2_103053	NEUTE1DRAFT_103053
Neute_matA2_133996	NEUTE1DRAFT_133996
Neute_matA2_89265	NEUTE1DRAFT_89265
Neute_matA2_148534	NEUTE1DRAFT_148534
Neute_matA2_98652	NEUTE1DRAFT_98652
Neute_matA2_47598 	
Neute_matA2_125372	NEUTE1DRAFT_125372
Neute_matA2_125373	NEUTE1DRAFT_125373
Neute_matA2_139156	NEUTE1DRAFT_139156
Neute_matA2_102345	NEUTE1DRAFT_102345
Neute_matA2_38203	NEUTE1DRAFT_38203
Neute_matA2_100967	NEUTE1DRAFT_100967
Neute_matA2_145494	NEUTE1DRAFT_145494
Neute_matA2_39726	NEUTE1DRAFT_39726
Neute_matA2_130177	NEUTE1DRAFT_130177
